cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion
0	-1	4	Endothelial	20	75	2.7576	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0508	G1	0		37.65	4.4543	False	False	0	0.0	10.00	0.00
1	-1	4	Endothelial	32	75	0.5917	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1568	G1	0		38.52	4.7213	False	False	0	0.0	10.00	0.00
2	-1	4	Endothelial	44	75	4.9390	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0213	G1	0		38.50	4.6874	False	False	0	0.0	10.00	0.00
3	-1	4	Endothelial	64	69	2.3298	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8578	G1	0		37.76	4.5309	False	False	0	0.0	10.00	0.00
4	-1	4	Endothelial	77	102	5.1696	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0110	G1	0		38.23	4.6429	False	False	0	0.0	10.00	0.00
5	-1	4	Endothelial	90	74	3.4846	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8568	G1	0		38.41	4.6061	False	False	0	0.0	10.00	0.00
6	-1	4	Endothelial	94	65	3.9689	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1464	G1	0		37.62	4.6029	False	False	0	0.0	10.00	0.00
7	-1	4	Endothelial	112	37	6.0991	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8865	G1	0		37.59	4.6046	False	False	0	0.0	10.00	0.00
8	-1	4	Endothelial	83	93	1.2230	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9286	G1	0		37.76	4.5725	False	False	0	0.0	10.00	0.00
9	-1	4	Endothelial	137	71	0.9694	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0609	G1	0		37.40	4.3257	False	False	0	0.0	10.00	0.00
10	-1	4	Endothelial	139	85	6.0790	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.3569	G1	0		37.61	4.4931	False	False	0	0.0	10.00	0.00
11	-1	4	Endothelial	156	93	2.9503	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8644	G1	0		36.94	4.0974	False	False	0	0.0	10.00	0.00
12	-1	4	Endothelial	175	91	2.9889	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9810	G1	0		37.56	4.3935	False	False	0	0.0	10.00	0.00
13	-1	4	Endothelial	195	72	2.7467	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1084	G1	0		38.18	4.4336	False	False	0	0.0	10.00	0.00
14	-1	4	Endothelial	198	0	1.9627	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8048	G1	0		37.88	4.9065	False	False	0	0.0	10.00	0.00
15	-1	4	Endothelial	210	74	2.4346	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0387	G1	0		38.05	4.4664	False	False	0	0.0	10.00	0.00
16	-1	4	Endothelial	218	83	0.8781	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1452	G1	0		37.71	4.3690	False	False	0	0.0	10.00	0.00
17	-1	4	Endothelial	224	75	4.9444	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0113	G1	0		38.35	4.3651	False	False	0	0.0	10.00	0.00
