cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion
27	-1	4	Endothelial	344	75	5.1146	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9484	G1	0		38.28	4.2485	False	False	0	0.0	10.00	0.00
28	-1	4	Endothelial	359	56	0.5658	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9395	G1	0		37.24	4.2363	False	False	0	0.0	10.00	0.00
29	-1	4	Endothelial	358	75	1.0133	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0812	G1	0		38.16	4.1620	False	False	0	0.0	10.00	0.00
30	-1	4	Endothelial	381	85	4.3751	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0801	G1	0		37.36	4.1326	False	False	0	0.0	10.00	0.00
31	-1	4	Endothelial	392	65	1.8945	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9836	S	0		37.40	4.2624	False	False	0	0.0	10.00	0.00
32	-1	4	Endothelial	428	137	0.5507	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7188	G1	0		36.66	3.4539	False	False	0	0.0	10.00	0.00
33	-1	4	Endothelial	385	53	5.7088	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8338	G1	0		37.46	4.3627	False	False	0	0.0	10.00	0.00
34	-1	4	Endothelial	422	37	6.0895	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9370	G1	0		36.60	3.9911	False	False	0	0.0	10.00	0.00
35	-1	4	Endothelial	445	66	2.8234	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1229	G1	0		37.51	4.2619	False	False	0	0.0	10.00	0.00
36	-1	4	Endothelial	374	114	5.6712	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8417	G1	0		37.99	3.8892	False	False	0	0.0	10.00	0.00
37	-1	4	Endothelial	397	81	1.9224	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7121	G1	0		37.74	4.1832	False	False	0	0.0	10.00	0.00
38	-1	4	Endothelial	471	66	5.3823	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9010	G1	0		37.61	4.3275	False	False	0	0.0	10.00	0.00
39	-1	4	Endothelial	481	67	2.7149	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9118	G1	0		37.61	4.2677	False	False	0	0.0	10.00	0.00
40	-1	4	Endothelial	500	75	4.0831	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.2670	G1	0		37.93	4.2686	False	False	0	0.0	10.00	0.00
41	-1	4	Endothelial	502	91	0.2615	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0299	G1	0		37.23	4.0010	False	False	0	0.0	10.00	0.00
42	-1	4	Endothelial	529	83	0.9081	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1392	S	0		37.48	4.0911	False	False	0	0.0	10.00	0.00
43	-1	4	Endothelial	544	69	1.0719	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8019	G1	0		37.95	4.1389	False	False	0	0.0	10.00	0.00
44	-1	4	Endothelial	548	75	2.1794	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9350	G1	0		38.05	4.2348	False	False	0	0.0	10.00	0.00
45	-1	4	Endothelial	521	116	6.0228	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9630	G1	0		37.58	3.8605	False	False	0	0.0	10.00	0.00
46	-1	4	Endothelial	562	77	0.5198	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0523	S	0		37.26	3.8385	False	False	0	0.0	10.00	0.00
