cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion
0	-1	4	Endothelial	20	75	2.7576	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0508	G1	0		37.65	4.4540	False	False	0	0.0	10.00	0.00
1	-1	4	Endothelial	32	75	0.5917	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1568	G1	0		38.52	4.7210	False	False	0	0.0	10.00	0.00
2	-1	4	Endothelial	44	75	4.9390	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0213	G1	0		38.50	4.6870	False	False	0	0.0	10.00	0.00
3	-1	4	Endothelial	64	69	2.3298	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8578	G1	0		37.92	4.6444	False	False	0	0.0	10.00	0.00
4	-1	4	Endothelial	67	85	5.1696	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0110	G1	0		37.66	4.6366	False	False	0	0.0	10.00	0.00
5	-1	4	Endothelial	90	74	3.4846	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8568	G1	0		38.17	4.6911	False	False	0	0.0	10.00	0.00
6	-1	4	Endothelial	94	65	3.9689	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1464	G1	0		38.44	4.5668	False	False	0	0.0	10.00	0.00
7	-1	4	Endothelial	114	47	6.0991	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8865	G1	0		37.59	4.6038	False	False	0	0.0	10.00	0.00
8	-1	4	Endothelial	90	86	1.2230	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9286	G1	0		37.99	4.5814	False	False	0	0.0	10.00	0.00
9	-1	4	Endothelial	128	75	0.9694	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0609	G1	0		38.22	4.5448	False	False	0	0.0	10.00	0.00
