cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion
0	-1	4	Endothelial	0	43	2.7576	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0508	G1	0		38.00	4.9904	False	False	1	0.0	10.00	0.00
1	-1	4	Endothelial	28	94	0.5917	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1568	G2	0		37.77	4.7887	False	False	0	0.0	10.00	0.00
2	-1	4	Endothelial	109	68	4.9390	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0213	G1	0		37.16	4.1024	False	False	1	0.0	10.00	0.00
3	-1	4	Endothelial	63	8	2.3298	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8578	M	0		38.00	4.9915	False	False	0	0.0	10.00	0.00
4	-1	4	Endothelial	77	102	5.1696	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0110	G2	0		38.27	4.5506	False	False	0	0.0	10.00	0.00
5	-1	4	Endothelial	99	52	3.4846	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8568	M	0		37.56	4.5899	False	False	0	0.0	10.00	0.00
6	-1	4	Endothelial	70	94	3.9689	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1464	G1	0		38.13	4.6850	False	False	1	0.0	10.00	0.00
7	-1	4	Endothelial	66	27	6.0991	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8865	M	0		37.74	4.7296	False	False	0	0.0	10.00	0.00
8	-1	4	Endothelial	90	65	1.2230	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9286	G2	0		37.74	4.6930	False	False	0	0.0	10.00	0.00
9	-1	4	Endothelial	190	83	0.9694	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0609	M	0		37.66	4.4155	False	False	0	0.0	10.00	0.00
10	-1	4	Endothelial	129	88	6.0790	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.3569	M	0		37.19	4.2788	False	False	0	0.0	10.00	0.00
11	-1	4	Endothelial	149	95	2.9503	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8644	M	0		37.58	4.4328	False	False	0	0.0	10.00	0.00
12	-1	4	Endothelial	202	78	2.9889	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9810	S	0		37.69	4.2252	False	False	0	0.0	10.00	0.00
13	-1	4	Endothelial	195	72	2.7467	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1084	G1	0		36.67	3.9960	False	False	1	0.0	10.00	0.00
14	-1	4	Endothelial	266	0	1.9627	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8048	M	0		37.79	4.8286	False	False	0	0.0	10.00	0.00
15	-1	4	Endothelial	249	80	2.4346	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0387	G2	0		37.88	4.4152	False	False	0	0.0	10.00	0.00
