step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	63574	3	0	0	19.6920	18.9066	2.1133	0.0000	1.2316
1	63567	3	0	0	19.7200	12.2036	4.0405	0.0827	1.2320
2	63565	3	0	0	19.7220	12.2099	3.3817	0.1266	1.2324
3	63559	3	0	0	19.7181	12.2015	3.6451	0.1278	1.2327
4	63554	3	0	0	19.7161	12.1976	3.5246	0.1283	1.2329
5	63549	3	0	0	19.7147	12.1945	3.5667	0.1277	1.2330
6	63545	3	0	0	19.7135	12.1916	3.5420	0.1289	1.2331
7	63541	3	0	0	19.7126	12.1895	3.5468	0.1288	1.2332
8	63532	3	0	0	19.7118	12.1878	3.5402	0.1310	1.2332
9	63525	3	0	0	19.7114	12.1867	3.5392	0.1307	1.2332
10	63515	3	0	0	19.7112	12.1858	3.5367	0.1295	1.2332
11	63509	3	0	0	19.7109	12.1848	3.5350	0.1314	1.2332
12	63504	3	0	0	19.7107	12.1841	3.5334	0.1304	1.2332
13	63501	3	0	0	19.7105	12.1838	3.5321	0.1278	1.2331
14	63495	3	0	0	19.7103	12.1832	3.5306	0.1296	1.2331
15	63490	3	0	0	19.7103	12.1831	3.5297	0.1274	1.2330
16	63483	3	0	0	19.7102	12.1829	3.5286	0.1319	1.2330
17	63473	3	0	0	19.7102	12.1827	3.5278	0.1300	1.2330
18	63468	3	0	0	19.7103	12.1831	3.5269	0.1292	1.2329
19	63464	3	0	0	19.7103	12.1833	3.5263	0.1295	1.2328
20	63455	3	0	0	19.7102	12.1830	3.5256	0.1261	1.2328
21	63452	3	0	0	19.7103	12.1831	3.5252	0.1311	1.2328
22	63447	3	0	0	19.7102	12.1828	3.5245	0.1325	1.2327
23	63441	3	0	0	19.7102	12.1830	3.5239	0.1302	1.2327
24	63438	4	0	0	19.7104	12.1834	3.5238	0.1320	1.2326
25	63434	5	0	0	19.7090	12.1713	3.5227	0.1273	1.2327
26	63432	5	0	0	19.7076	12.1576	3.5220	0.1408	1.2329
27	63430	5	0	0	19.7074	12.1571	3.5216	0.1554	1.2331
28	63426	6	0	0	19.7074	12.1552	3.5213	0.1567	1.2333
29	63416	6	0	0	19.7060	12.1448	3.5202	0.1587	1.2335
30	63406	6	0	0	19.7061	12.1449	3.5203	0.1617	1.2337
31	63399	7	0	0	19.7064	12.1470	3.5200	0.1559	1.2338
32	63391	7	0	0	19.7052	12.1375	3.5192	0.1568	1.2340
33	63381	7	0	0	19.7052	12.1374	3.5193	0.1604	1.2342
34	63373	7	0	0	19.7055	12.1378	3.5192	0.1614	1.2343
35	63370	8	0	0	19.7057	12.1394	3.5192	0.1553	1.2344
36	63364	8	0	0	19.7045	12.1294	3.5186	0.1567	1.2345
37	63357	9	0	0	19.7045	12.1303	3.5183	0.1573	1.2347
38	63353	9	0	0	19.7033	12.1213	3.5178	0.1577	1.2349
39	63344	9	0	0	19.7032	12.1209	3.5176	0.1626	1.2351
40	63339	9	0	0	19.7035	12.1214	3.5178	0.1625	1.2352
41	63331	9	0	0	19.7037	12.1221	3.5177	0.1610	1.2353
42	63322	9	0	0	19.7040	12.1226	3.5178	0.1639	1.2353
43	63316	9	0	0	19.7043	12.1233	3.5179	0.1594	1.2354
44	63310	9	0	0	19.7045	12.1237	3.5179	0.1656	1.2354
45	63300	10	0	0	19.7047	12.1245	3.5180	0.1596	1.2353
46	63294	11	0	0	19.7036	11.8239	3.5174	0.1600	1.2355
