cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion
0	-1	4	Endothelial	0	47	2.7576	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0508	G1	0		37.99	4.9894	False	False	1	0.0	10.00	0.00
1	-1	4	Endothelial	35	105	0.5917	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1568	M	0		37.68	4.7085	False	False	0	0.0	10.00	0.00
2	-1	4	Endothelial	120	81	4.9390	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0213	G1	0		36.86	3.9446	False	False	1	0.0	10.00	0.00
3	-1	4	Endothelial	77	0	2.3298	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8578	M	0		37.95	4.9533	False	False	0	0.0	10.00	0.00
4	-1	4	Endothelial	127	65	5.1696	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0110	M	0		37.55	4.5555	False	False	0	0.0	10.00	0.00
5	-1	4	Endothelial	99	52	3.4846	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8568	G1	0		37.78	4.7317	False	False	1	0.0	10.00	0.00
6	-1	4	Endothelial	79	77	3.9689	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1464	G1	0		37.50	4.3417	False	False	1	0.0	10.00	0.00
7	-1	4	Endothelial	95	35	6.0991	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8865	M	0		37.64	4.6813	False	False	0	0.0	10.00	0.00
8	-1	4	Endothelial	71	75	1.2230	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9286	M	0		37.77	4.4911	False	False	0	0.0	10.00	0.00
9	-1	4	Endothelial	190	83	0.9694	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0609	G1	0		37.56	4.3449	False	False	1	0.0	10.00	0.00
10	-1	4	Endothelial	129	84	6.0790	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.3569	G1	0		37.54	4.4213	False	False	0	0.0	10.00	0.00
11	-1	4	Endothelial	197	98	2.9503	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8644	M	0		35.72	3.3691	False	False	0	0.0	10.00	0.00
12	-1	4	Endothelial	202	78	2.9889	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9810	G2	0		37.69	4.2157	False	False	0	0.0	10.00	0.00
13	-1	4	Endothelial	195	72	2.7467	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1084	G1	0		36.66	3.9872	False	False	1	0.0	10.00	0.00
14	-1	4	Endothelial	249	0	1.9627	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8048	G1	0		37.94	4.9289	False	False	1	0.0	10.00	0.00
15	-1	4	Endothelial	220	73	2.4346	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0387	M	0		38.09	4.3136	False	False	0	0.0	10.00	0.00
16	-1	4	Endothelial	218	83	0.8781	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1452	M	0		37.69	4.3508	False	False	0	0.0	10.00	0.00
17	-1	4	Endothelial	269	80	4.9444	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0113	G1	0		37.97	4.3415	False	False	1	0.0	10.00	0.00
18	-1	4	Endothelial	275	87	4.9055	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7571	G2	0		37.42	4.2202	False	False	0	0.0	10.00	0.00
19	-1	4	Endothelial	226	138	0.8784	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8935	M	0		37.59	4.0505	False	False	0	0.0	10.00	0.00
20	-1	4	Endothelial	187	12	2.9600	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8557	G1	0		37.81	4.8390	False	False	1	0.0	10.00	0.00
21	-1	4	Endothelial	286	136	3.9881	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9442	M	0		36.94	3.7425	False	False	0	0.0	10.00	0.00
22	-1	4	Endothelial	291	83	1.9098	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1185	G1	0		37.56	4.2072	False	False	1	0.0	10.00	0.00
23	-1	4	Endothelial	296	46	1.3483	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9229	S	0		38.11	4.4627	False	False	0	0.0	10.00	0.00
24	-1	4	Endothelial	302	84	1.4699	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7874	G1	0		37.44	4.1703	False	False	1	0.0	10.00	0.00
25	-1	4	Endothelial	311	54	1.8447	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0829	G1	0		37.75	4.3989	False	False	1	0.0	10.00	0.00
26	-1	4	Endothelial	369	55	4.9254	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9288	G1	0		37.80	4.3516	False	False	0	0.0	10.00	0.00
27	-1	4	Endothelial	342	65	5.1146	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9484	G1	0		37.50	4.3382	False	False	1	0.0	10.00	0.00
28	-1	4	Endothelial	356	54	0.5658	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9395	G2	0		37.22	4.2416	False	False	0	0.0	10.00	0.00
29	-1	4	Endothelial	338	76	1.0133	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0812	G2	0		38.18	4.2300	False	False	0	0.0	10.00	0.00
30	-1	4	Endothelial	382	121	4.3751	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0801	G1	0		37.49	3.8853	False	False	1	0.0	10.00	0.00
31	-1	4	Endothelial	383	61	1.8945	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9836	G1	0		37.50	4.2302	False	False	0	0.0	10.00	0.00
32	-1	4	Endothelial	428	137	0.5507	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7188	G1	0		36.66	3.4521	False	False	1	0.0	10.00	0.00
33	-1	4	Endothelial	376	56	5.7088	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8338	G1	0		38.20	4.3307	False	False	1	0.0	10.00	0.00
34	-1	4	Endothelial	405	46	6.0895	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9370	G2	0		37.21	4.2788	False	False	0	0.0	10.00	0.00
35	-1	4	Endothelial	392	115	2.8234	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1229	G2	0		37.27	3.9270	False	False	0	0.0	10.00	0.00
36	-1	4	Endothelial	384	80	5.6712	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8417	G2	0		37.70	4.1272	False	False	0	0.0	10.00	0.00
37	-1	4	Endothelial	312	111	1.9224	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7121	M	0		36.64	3.6307	False	False	0	0.0	10.00	0.00
38	-1	4	Endothelial	430	114	5.3823	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9010	S	0		37.23	3.8716	False	False	0	0.0	10.00	0.00
39	-1	4	Endothelial	500	64	2.7149	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9118	M	0		37.40	4.2507	False	False	0	0.0	10.00	0.00
40	-1	4	Endothelial	491	58	4.0831	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.2670	S	0		37.54	4.3723	False	False	0	0.0	10.00	0.00
41	-1	4	Endothelial	523	101	0.2615	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0299	G1	0		37.93	3.9648	False	False	1	0.0	10.00	0.00
42	-1	4	Endothelial	529	83	0.9081	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1392	G1	0		37.41	4.0399	False	False	0	0.0	10.00	0.00
43	-1	4	Endothelial	556	124	1.0719	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8019	G1	0		36.98	3.6800	False	False	0	0.0	10.00	0.00
44	-1	4	Endothelial	521	68	2.1794	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9350	M	0		37.42	4.0695	False	False	0	0.0	10.00	0.00
45	-1	4	Endothelial	517	125	6.0228	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9630	G1	0		37.29	3.7589	False	False	0	0.0	10.00	0.00
46	-1	4	Endothelial	567	68	0.5198	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0523	G1	0		37.76	4.3035	False	False	1	0.0	10.00	0.00
