cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion
0	-1	4	Endothelial	9	13	2.7576	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0508	S	0		38.00	4.9980	False	False	1	0.0	10.00	0.00
1	-1	4	Endothelial	31	148	0.5917	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1568	S	0		37.00	4.1856	False	False	0	0.0	10.00	0.00
2	-1	4	Endothelial	131	91	4.9390	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0213	M	0		36.23	3.7001	False	False	1	0.0	10.00	0.00
3	-1	4	Endothelial	71	8	2.3298	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8578	G1	0		37.81	4.8689	False	False	2	0.0	10.00	0.00
4	-1	4	Endothelial	96	65	5.1696	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0110	G2	0		37.59	4.5602	False	False	2	0.0	10.00	0.00
5	-1	4	Endothelial	122	84	3.4846	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8568	S	0		36.87	4.0630	False	False	2	0.0	10.00	0.00
6	-1	4	Endothelial	39	63	3.9689	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1464	S	0		37.53	4.6152	False	False	2	0.0	10.00	0.00
7	-1	4	Endothelial	59	47	6.0991	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8865	G1	0		35.95	3.7918	False	False	1	0.0	10.00	0.00
8	-1	4	Endothelial	67	214	1.2230	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9286	G1	0		37.91	4.2272	False	False	2	0.0	10.00	0.00
9	-1	4	Endothelial	200	81	0.9694	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0609	M	0		37.27	4.0342	False	False	1	0.0	10.00	0.00
10	-1	4	Endothelial	131	77	6.0790	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.3569	G2	0		37.89	4.4940	False	False	1	0.0	10.00	0.00
11	-1	4	Endothelial	212	79	2.9503	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8644	S	0		37.80	4.1620	False	False	1	0.0	10.00	0.00
12	-1	4	Endothelial	206	69	2.9889	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9810	G1	0		37.72	4.2768	False	False	1	0.0	10.00	0.00
13	-1	4	Endothelial	184	56	2.7467	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1084	G1	0		37.47	4.4055	False	False	1	0.0	10.00	0.00
14	-1	4	Endothelial	244	14	1.9627	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8048	G1	0		37.71	4.7523	False	False	1	0.0	10.00	0.00
15	-1	4	Endothelial	229	78	2.4346	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0387	G1	0		38.07	4.2779	False	False	0	0.0	10.00	0.00
16	-1	4	Endothelial	226	89	0.8781	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1452	S	0		37.77	4.2236	False	False	0	0.0	10.00	0.00
17	-1	4	Endothelial	242	66	4.9444	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0113	G2	0		37.61	4.3557	False	False	2	0.0	10.00	0.00
