cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion
0	-1	4	Endothelial	9	13	2.7576	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0508	S	0		37.10	4.5449	False	False	1	0.0	10.00	0.00
1	-1	4	Endothelial	50	127	0.5917	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1568	G1	0		37.73	4.6753	False	False	0	0.0	10.00	0.00
2	-1	4	Endothelial	120	81	4.9390	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0213	S	0		37.03	4.0513	False	False	1	0.0	10.00	0.00
3	-1	4	Endothelial	71	8	2.3298	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8578	G1	0		37.85	4.8940	False	False	1	0.0	10.00	0.00
4	-1	4	Endothelial	127	65	5.1696	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0110	S	0		37.61	4.5467	False	False	1	0.0	10.00	0.00
5	-1	4	Endothelial	96	43	3.4846	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8568	G1	0		37.43	4.5276	False	False	1	0.0	10.00	0.00
6	-1	4	Endothelial	79	77	3.9689	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1464	S	0		37.87	4.5835	False	False	1	0.0	10.00	0.00
7	-1	4	Endothelial	59	47	6.0991	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8865	G1	0		36.22	3.9805	False	False	1	0.0	10.00	0.00
8	-1	4	Endothelial	73	95	1.2230	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9286	G1	0		38.19	4.5102	False	False	1	0.0	10.00	0.00
9	-1	4	Endothelial	190	83	0.9694	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0609	S	0		37.55	4.3281	False	False	1	0.0	10.00	0.00
10	-1	4	Endothelial	129	84	6.0790	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.3569	S	0		37.53	4.4072	False	False	0	0.0	10.00	0.00
11	-1	4	Endothelial	260	140	2.9503	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8644	G1	0		37.40	3.9987	False	False	1	0.0	10.00	0.00
