time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
13.0	6928	20	18	6930	22	624	916	1
14.0	6928	18	17	6931	18	624	916	2
15.0	6927	20	24	6932	15	906	1269	1
16.0	6927	24	28	6933	17	906	1269	2
17.0	6927	28	28	6934	28	906	1269	3
22.0	6927	28	30	6935	24	906	1269	4
30.0	6928	17	13	6936	19	416	823	3
33.0	6930	22	26	6937	18	715	890	2
35.0	6930	26	20	6938	30	693	999	3
35.0	6929	20	15	6939	24	1061	724	1
35.0	6928	13	15	6940	11	364	713	4
36.0	6927	30	25	6941	34	808	1206	5
36.0	6928	15	21	6942	9	364	713	5
37.0	6928	21	23	6943	17	367	626	6
39.0	6929	15	14	6944	15	1018	671	2
39.0	6931	18	22	6945	14	610	916	3
40.0	6929	14	15	6946	13	1018	671	3
43.0	6928	23	12	6947	31	373	521	7
43.0	6940	11	8	6948	13	367	780	5
43.0	6931	22	17	6949	24	588	1009	4
45.0	6937	18	18	6950	17	764	1214	3
45.0	6940	8	7	6951	9	367	780	6
49.0	6940	7	9	6952	4	367	780	7
50.0	6938	30	26	6953	34	933	1060	4
52.0	6931	17	15	6954	19	588	1009	5
52.0	6934	28	20	6955	34	350	1036	4
53.0	6944	15	19	6956	10	1231	796	3
53.0	6931	15	13	6957	17	588	1009	6
54.0	6933	17	19	6958	14	120	1039	3
54.0	6943	17	17	6959	17	263	495	7
55.0	6929	15	17	6960	11	1089	541	4
55.0	6936	19	15	6961	23	293	758	4
55.0	6944	19	25	6962	10	1231	796	4
55.0	6928	12	13	6963	10	333	470	8
56.0	6941	34	36	6964	30	964	1216	6
56.0	6932	15	14	6965	16	795	1219	2
56.0	6935	24	23	6966	23	499	1004	5
56.0	6940	9	6	6967	11	367	780	8
57.0	6941	36	39	6968	30	964	1216	7
57.0	6927	25	26	6969	23	172	1080	6
58.0	6943	17	12	6970	21	263	495	8
58.0	6942	9	5	6971	13	391	424	6
58.0	6941	39	38	6972	40	964	1216	8
59.0	6927	26	24	6973	28	172	1080	7
60.0	6930	20	21	6974	18	553	1071	4
62.0	6929	17	15	6975	19	1046	463	5
62.0	6946	13	15	6976	11	1009	742	4
62.0	6930	21	16	6977	24	482	1161	5
63.0	6934	20	16	6978	20	233	958	5
63.0	6936	15	14	6979	15	132	770	5
63.0	6932	14	15	6980	13	795	1219	3
63.0	6930	16	12	6981	20	482	1161	6
64.0	6933	19	18	6982	20	0	1065	4
64.0	6937	18	18	6983	15	837	1578	4
65.0	6935	23	24	6984	20	383	857	6
65.0	6946	15	14	6985	14	1009	742	5
65.0	6950	17	13	6986	21	574	1300	4
65.0	6934	16	19	6987	13	233	958	6
65.0	6938	26	28	6988	23	933	1060	5
66.0	6950	13	13	6989	13	574	1300	5
66.0	6946	14	12	6990	16	1009	742	6
66.0	6942	5	6	6991	4	407	383	7
67.0	6941	38	35	6992	41	1238	1157	9
67.0	6945	14	8	6993	20	794	563	4
68.0	6945	8	3	6994	11	794	563	5
68.0	6933	18	23	6995	13	0	1065	5
68.0	6958	14	18	6996	10	120	1056	4
68.0	6931	13	13	6997	12	471	1055	7
68.0	6927	24	18	6998	28	0	1291	8
68.0	6941	35	33	6999	35	1238	1157	10
69.0	6933	23	23	7000	21	0	1065	6
69.0	6931	13	18	7001	7	471	1055	8
69.0	6927	18	16	7002	19	0	1291	9
69.0	6937	18	19	7003	17	831	1664	5
70.0	6934	19	19	7004	19	160	989	7
70.0	6937	19	23	7005	14	831	1664	6
71.0	6938	28	28	7006	27	933	1060	6
71.0	6928	13	10	7007	15	552	561	9
71.0	6935	24	27	7008	20	383	857	7
71.0	6939	24	27	7009	21	1710	388	2
72.0	6939	27	29	7010	23	1817	355	3
72.0	6991	4	7	7011	1	418	394	8
72.0	6961	23	24	7012	22	0	663	5
73.0	6969	23	20	7013	26	73	1045	7
73.0	6935	27	21	7014	32	383	857	8
73.0	6944	25	19	7015	30	1219	1202	5
73.0	6932	15	16	7016	14	734	1251	4
73.0	6974	18	17	7017	18	327	1172	5
74.0	6948	13	13	7018	11	424	428	6
74.0	6955	34	23	7019	43	572	720	5
75.0	6999	35	33	7020	34	1220	1030	11
76.0	6943	12	9	7021	14	451	494	9
76.0	6930	12	7	7022	17	435	1121	7
76.0	6929	15	14	7023	16	1047	392	6
76.0	6950	13	11	7024	14	574	1300	6
77.0	6937	23	17	7025	27	831	1664	7
78.0	6927	16	19	7026	13	0	1291	10
78.0	6989	13	13	7027	12	566	1372	6
78.0	6951	9	5	7028	13	239	971	7
78.0	6947	31	28	7029	34	0	584	8
79.0	6959	17	19	7030	14	28	191	8
79.0	6937	17	18	7031	16	831	1664	8
79.0	6951	5	5	7032	5	239	971	8
