step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
89	433	50	0	0	19.9153	12.4715	4.9044	0.2175	1.0143
90	435	52	0	0	19.9129	12.4710	4.9025	0.2210	1.0147
91	437	54	0	0	19.9085	12.4698	4.8998	0.2194	1.0151
92	437	55	0	0	19.9038	12.4684	4.8962	0.2200	1.0159
93	437	55	0	0	19.9006	12.4676	4.8932	0.2310	1.0167
94	436	55	0	0	19.9007	12.4676	4.8933	0.2097	1.0167
95	438	57	0	0	19.9007	12.4676	4.8932	0.2112	1.0167
96	440	59	0	0	19.8957	12.4462	4.8892	0.2081	1.0177
97	444	63	0	0	19.8906	12.4638	4.8850	0.2191	1.0187
98	446	65	0	0	19.8805	12.4602	4.8769	0.2222	1.0207
99	450	69	0	0	19.8760	12.4584	4.8741	0.2469	1.0213
100	455	74	0	0	19.8685	12.4254	4.8681	0.2424	1.0228
101	457	76	0	0	19.8569	12.4190	4.8597	0.2573	1.0246
102	459	78	0	0	19.8517	5.5854	4.8566	0.2637	1.0256
103	465	84	0	0	19.8495	5.5850	4.8551	0.2576	1.0259
104	466	85	0	0	19.8356	5.5703	4.8453	0.2619	1.0279
105	473	93	0	0	19.8333	5.5703	4.8437	0.2709	1.0285
106	477	97	0	0	19.8117	5.5671	4.8277	0.2729	1.0319
107	479	99	0	0	19.8023	12.3897	4.8197	0.2719	1.0335
108	481	101	0	0	19.7970	12.3859	4.8156	0.2959	1.0346
109	487	107	0	0	19.7928	12.3843	4.8128	0.3069	1.0352
110	494	114	0	0	19.7782	12.3741	4.8017	0.3049	1.0375
111	498	118	0	0	19.7601	12.3563	4.7874	0.2944	1.0410
112	503	123	0	0	19.7489	12.3485	4.7775	0.3414	1.0435
113	512	132	0	0	19.7334	12.3343	4.7626	0.3617	1.0477
114	518	138	0	0	19.7090	12.3341	4.7424	0.3438	1.0528
115	522	142	0	0	19.6933	12.3239	4.7299	0.3869	1.0560
116	524	144	0	0	19.6826	12.3157	4.7211	0.3906	1.0582
117	529	149	0	0	19.6792	12.3146	4.7176	0.4061	1.0592
118	533	153	0	0	19.6667	12.3077	4.7079	0.4179	1.0613
119	537	157	0	0	19.6577	12.3020	4.7021	0.4301	1.0627
120	543	163	0	0	19.6483	12.2978	4.6950	0.4351	1.0641
121	553	173	0	0	19.6330	12.2912	4.6826	0.4401	1.0672
122	558	178	0	0	19.6092	12.2819	4.6651	0.4623	1.0708
123	565	185	0	0	19.5968	12.2645	4.6550	0.4784	1.0731
124	570	190	0	0	19.5778	12.2563	4.6390	0.5039	1.0771
125	585	205	0	0	19.5680	12.2489	4.6320	0.5351	1.0789
126	593	213	0	0	19.5289	12.2316	4.6002	0.5152	1.0866
127	599	219	0	0	19.5095	12.2222	4.5859	0.5201	1.0899
128	610	231	0	0	19.4937	12.2089	4.5729	0.5352	1.0931
129	619	240	0	0	19.4653	12.1899	4.5500	0.5356	1.0988
130	632	253	0	0	19.4421	12.1783	4.5315	0.5835	1.1034
131	636	257	0	0	19.4111	12.1626	4.5066	0.5874	1.1094
132	641	262	0	0	19.3994	12.1505	4.4961	0.6150	1.1122
133	649	270	0	0	19.3863	12.1437	4.4854	0.6338	1.1149
134	656	277	0	0	19.3682	12.2183	4.4706	0.6580	1.1185
135	672	293	0	0	19.3491	12.1106	4.4542	0.6878	1.1227
136	679	300	0	0	19.3069	12.0870	4.4190	0.7158	1.1313
137	687	308	0	0	19.2893	12.0775	4.4036	0.7245	1.1356
138	697	318	0	0	19.2699	12.0699	4.3890	0.7437	1.1388
139	706	327	0	0	19.2429	12.0574	4.3661	0.7323	1.1445
140	714	335	0	0	19.2226	12.0425	4.3479	0.7500	1.1494
141	727	348	0	0	19.2035	12.0301	4.3318	0.7860	1.1537
142	733	354	0	0	19.1691	11.9979	4.3036	0.7430	1.1607
143	742	363	0	0	19.1529	12.0078	4.2902	0.8243	1.1642
144	758	379	0	0	19.1294	11.9936	4.2714	0.8437	1.1688
145	765	386	0	0	19.0841	11.9611	4.2315	0.8957	1.1792
146	779	400	0	0	19.0645	11.9499	4.2143	0.9435	1.1837
147	795	416	0	0	19.0281	11.9225	4.1832	1.0012	1.1920
148	807	428	0	0	18.9856	11.9045	4.1493	1.0062	1.2006
149	820	441	0	0	18.9546	11.8902	4.1258	1.0372	1.2068
150	831	452	0	0	18.9194	11.8684	4.0978	1.0235	1.2143
151	839	460	0	0	18.8930	11.8577	4.0763	1.0564	1.2198
152	852	473	0	0	18.8714	11.8458	4.0594	1.0534	1.2244
153	865	486	0	0	18.8368	11.8254	4.0323	1.0374	1.2317
154	884	505	0	0	18.8030	11.8050	4.0071	1.0886	1.2383
155	897	518	0	0	18.7489	11.7650	3.9636	1.1337	1.2509
156	920	541	0	0	18.7144	11.7453	3.9383	1.1699	1.2579
157	939	560	0	0	18.6532	11.7349	3.8916	1.1941	1.2704
158	960	581	0	0	18.6062	11.7241	3.8558	1.2017	1.2799
159	976	597	0	0	18.5517	11.7084	3.8149	1.2414	1.2907
160	998	619	0	0	18.5108	11.7015	3.7841	1.2623	1.2986
