step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	6930	3	0	0	19.9604	19.5353	4.5766	0.0000	1.0318
1	6929	3	0	0	19.9556	12.7038	4.6694	0.0827	1.0339
2	6929	3	0	0	19.9557	12.7045	4.6461	0.0264	1.0341
3	6928	3	0	0	19.9552	12.7032	4.6470	0.1244	1.0341
4	6927	3	0	0	19.9550	12.7027	4.6443	0.1262	1.0341
5	6927	3	0	0	19.9549	12.7023	4.6435	0.1244	1.0341
6	6927	3	0	0	19.9548	12.7019	4.6424	0.1287	1.0341
7	6927	3	0	0	19.9548	12.7015	4.6416	0.1258	1.0341
8	6926	3	0	0	19.9548	12.7012	4.6411	0.1289	1.0341
9	6926	3	0	0	19.9549	12.7009	4.6407	0.1270	1.0341
10	6926	3	0	0	19.9550	12.7008	4.6404	0.1256	1.0340
11	6925	3	0	0	19.9550	12.7005	4.6401	0.1262	1.0340
12	6925	3	0	0	19.9552	12.7003	4.6398	0.1271	1.0340
13	6925	4	0	0	19.9553	12.7001	4.6396	0.1270	1.0340
14	6925	5	0	0	19.9536	12.6933	4.6370	0.1277	1.0346
15	6925	6	0	0	19.9520	12.6826	4.6349	0.1465	1.0354
16	6926	7	0	0	19.9503	12.6760	4.6327	0.1666	1.0361
17	6926	8	0	0	19.9486	12.6660	4.6304	0.1554	1.0369
18	6926	8	0	0	19.9468	12.6587	4.6283	0.1584	1.0377
19	6924	8	0	0	19.9470	12.6586	4.6287	0.1608	1.0377
20	6924	8	0	0	19.9472	12.6589	4.6286	0.1617	1.0377
21	6924	8	0	0	19.9473	12.6606	4.6287	0.1619	1.0377
22	6924	8	0	0	19.9474	12.6619	4.6288	0.1599	1.0377
23	6924	9	0	0	19.9475	12.6619	4.6287	0.1631	1.0377
24	6923	9	0	0	19.9458	12.6515	4.6264	0.1645	1.0383
25	6923	9	0	0	19.9459	12.6516	4.6268	0.1762	1.0384
26	6922	9	0	0	19.9459	12.6516	4.6267	0.1818	1.0384
27	6921	9	0	0	19.9460	12.6517	4.6266	0.1774	1.0384
28	6921	9	0	0	19.9461	12.6518	4.6266	0.1774	1.0384
29	6920	9	0	0	19.9461	12.6517	4.6265	0.1744	1.0384
30	6918	9	0	0	19.9463	12.6525	4.6266	0.1729	1.0384
31	6919	11	0	0	19.9465	12.6527	4.6267	0.1737	1.0383
32	6919	12	0	0	19.9429	12.6362	4.6218	0.1779	1.0397
33	6919	14	0	0	19.9412	12.3316	4.6204	0.1977	1.0405
34	6919	14	0	0	19.9378	12.3138	4.6160	0.1977	1.0420
35	6920	16	0	0	19.9379	12.3141	4.6170	0.2117	1.0421
36	6920	16	0	0	19.9343	12.3021	4.6119	0.2154	1.0435
37	6920	16	0	0	19.9344	12.3023	4.6129	0.2286	1.0436
38	6919	16	0	0	19.9345	12.6013	4.6127	0.2336	1.0437
39	6918	17	0	0	19.9346	12.5987	4.6130	0.2226	1.0436
40	6920	19	0	0	19.9329	12.5909	4.6107	0.2237	1.0443
41	6921	20	0	0	19.9293	12.5763	4.6061	0.2232	1.0458
42	6922	21	0	0	19.9275	12.5678	4.6045	0.2430	1.0466
43	6922	21	0	0	19.9258	12.5577	4.6024	0.2524	1.0474
44	6921	21	0	0	19.9259	12.5590	4.6028	0.2658	1.0475
45	6920	21	0	0	19.9260	12.5604	4.6029	0.2589	1.0475
46	6920	21	0	0	19.9261	12.5615	4.6032	0.2551	1.0474
47	6920	23	0	0	19.9262	12.5630	4.6033	0.2507	1.0474
48	6920	23	0	0	19.9226	12.5469	4.5981	0.2560	1.0488
49	6920	24	0	0	19.9228	12.5451	4.5995	0.2684	1.0489
