step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
86	63029	111	0	0	19.5652	11.2839	3.4807	0.3516	1.2864
87	63029	115	0	0	19.5607	10.9613	3.4796	0.3647	1.2888
88	63026	121	0	0	19.5548	10.9268	3.4784	0.4046	1.2913
89	63023	125	0	0	19.5462	10.8807	3.4759	0.4119	1.2940
90	63022	131	0	0	19.5400	10.8466	3.4753	0.4296	1.2967
91	63022	136	0	0	19.5313	10.8000	3.4725	0.4426	1.2997
92	63023	142	0	0	19.5237	10.7616	3.4710	0.4490	1.3027
93	63022	148	0	0	19.5149	10.7215	3.4685	0.4700	1.3058
94	63026	154	0	0	19.5060	10.6681	3.4667	0.4755	1.3092
95	63028	162	0	0	19.4970	10.6291	3.4645	0.4972	1.3126
96	63029	169	0	0	19.4853	10.5412	3.4621	0.4975	1.3164
97	63033	178	0	0	19.4746	10.4804	3.4600	0.5347	1.3203
98	63034	184	0	0	19.4613	10.4097	3.4569	0.5473	1.3247
99	63038	196	0	0	19.4519	10.3599	3.4555	0.5702	1.3290
100	63048	210	0	0	19.4345	10.2615	3.4512	0.5848	1.3339
101	63054	218	0	0	19.4136	10.1325	3.4471	0.6176	1.3398
102	63062	232	0	0	19.4006	10.0657	3.4448	0.6491	1.3456
103	63067	239	0	0	19.3803	9.9529	3.4406	0.6683	1.3521
104	63073	252	0	0	19.3687	9.8950	3.4393	0.6959	1.3582
105	63085	267	0	0	19.3498	9.7867	3.4353	0.7168	1.3648
106	63093	283	0	0	19.3274	9.6692	3.4313	0.7385	1.3720
107	63103	297	0	0	19.3033	9.5345	3.4271	0.7692	1.3799
108	63111	307	0	0	19.2818	9.4047	3.4239	0.7974	1.3881
109	63119	319	0	0	19.2659	9.3240	3.4215	0.8202	1.3959
110	63117	326	0	0	19.2481	9.2319	3.4183	0.8432	1.4037
111	63127	340	0	0	19.2369	9.1812	3.4168	0.8714	1.4107
112	63141	355	0	0	19.2169	9.0841	3.4123	0.8786	1.4180
113	63149	366	0	0	19.1944	8.9705	3.4091	0.8991	1.4258
114	63157	382	0	0	19.1771	8.8787	3.4065	0.9188	1.4334
115	63168	400	0	0	19.1536	8.7290	3.4036	0.9373	1.4416
116	63181	420	0	0	19.1266	8.5855	3.3994	1.0094	1.4505
117	63191	434	0	0	19.0966	8.4166	3.3954	1.0529	1.4602
118	63203	452	0	0	19.0744	8.2944	3.3929	1.0969	1.4699
119	63220	474	0	0	19.0477	8.1561	3.3886	1.1282	1.4800
120	63238	497	0	0	19.0149	7.9719	3.3848	1.1656	1.4909
121	63249	515	0	0	18.9800	7.7783	3.3806	1.1989	1.5027
122	63273	543	0	0	18.9520	7.6403	3.3778	1.2306	1.5145
123	63288	564	0	0	18.9112	7.4228	3.3721	1.2894	1.5276
124	63300	587	0	0	18.8784	7.2579	3.3687	1.3312	1.5409
125	63329	620	0	0	18.8440	7.0736	3.3652	1.3454	1.5544
126	63350	650	0	0	18.7952	6.7883	3.3604	1.3873	1.5695
127	63367	670	0	0	18.7492	6.5355	3.3569	1.4437	1.5857
128	63396	706	0	0	18.7172	6.3828	3.3537	1.5124	1.6012
129	63421	739	0	0	18.6647	0.0000	3.3489	1.5547	1.6183
130	63438	768	0	0	18.6146	0.0000	3.3441	1.5785	1.6363
131	63476	813	0	0	18.5706	0.0000	3.3403	1.6448	1.6544
132	63502	841	0	0	18.5050	0.0000	3.3338	1.6940	1.6748
133	63516	863	0	0	18.4603	0.0000	3.3313	1.7575	1.6949
134	63546	899	0	0	18.4261	0.0000	3.3283	1.7998	1.7136
135	63580	938	0	0	18.3736	0.0000	3.3230	1.8328	1.7330
136	63609	976	0	0	18.3151	0.0000	3.3195	1.8651	1.7536
137	63634	1007	0	0	18.2581	0.0000	3.3142	1.9056	1.7750
138	63671	1049	1	0	18.2107	0.0000	3.3108	1.9493	1.7961
139	63692	1077	1	0	18.1487	0.0000	3.3056	2.0042	1.8182
140	63718	1108	1	0	18.1047	0.0000	3.3028	2.0502	1.8395
141	63741	1136	1	0	18.0583	0.0000	3.2989	2.0922	1.8603
142	63784	1184	1	0	18.0160	0.0000	3.2963	2.1294	1.8804
143	63824	1226	1	0	17.9459	0.0000	3.2913	2.1552	1.9025
144	63860	1264	1	0	17.8816	0.0000	3.2874	2.2339	1.9257
145	63906	1319	1	0	17.8242	0.0000	3.2839	2.2801	1.9493
146	63937	1357	1	0	17.7442	0.0000	3.2776	2.3126	1.9752
147	63977	1399	1	0	17.6848	0.0000	3.2750	2.3431	2.0009
148	64003	1431	1	0	17.6221	0.0000	3.2707	2.3799	2.0268
149	64026	1460	2	0	17.5724	0.0000	3.2687	2.4133	2.0514
150	64047	1489	3	0	17.5284	0.0000	3.2664	2.4443	2.0745
151	64077	1526	8	0	17.4853	0.0000	3.2631	2.4620	2.0964
152	64108	1560	12	0	17.4316	0.0000	3.2591	2.4738	2.1183
153	64129	1586	19	0	17.3807	0.0000	3.2563	2.4786	2.1400
154	64142	1602	26	0	17.3415	0.0000	3.2533	2.4872	2.1605
155	64167	1626	37	0	17.3171	0.0000	3.2512	2.4841	2.1785
156	64204	1663	41	0	17.2841	0.0000	3.2473	2.4548	2.1954
157	64233	1688	51	0	17.2329	0.0000	3.2428	2.4498	2.2135
158	64252	1706	63	0	17.1965	0.0000	3.2397	2.4410	2.2309
159	64281	1734	74	0	17.1716	0.0000	3.2367	2.4257	2.2469
160	64319	1775	76	0	17.1358	0.0000	3.2329	2.4187	2.2629
161	64344	1794	87	0	17.0842	0.0000	3.2277	2.4312	2.2808
162	64364	1804	102	0	17.0584	0.0000	3.2254	2.3967	2.2975
