step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
86	6884	92	0	0	19.8253	11.9870	4.4951	0.2781	1.0915
87	6888	97	0	0	19.8156	11.9614	4.4844	0.2933	1.0954
88	6893	102	0	0	19.8073	11.9347	4.4758	0.2996	1.0991
89	6896	105	0	0	19.7988	11.9082	4.4681	0.3110	1.1027
90	6897	106	0	0	19.7940	11.8913	4.4635	0.3229	1.1050
91	6897	109	0	0	19.7926	11.8918	4.4624	0.3140	1.1058
92	6900	112	0	0	19.7889	11.8766	4.4584	0.3111	1.1073
93	6908	120	0	0	19.7838	11.8585	4.4540	0.3340	1.1094
94	6915	127	0	0	19.7716	11.8285	4.4412	0.3440	1.1142
95	6919	133	0	0	19.7614	11.8083	4.4321	0.3490	1.1186
96	6923	137	0	0	19.7526	11.7846	4.4238	0.3603	1.1224
97	6926	140	0	0	19.7460	11.7663	4.4178	0.3795	1.1254
98	6930	145	0	0	19.7408	11.7517	4.4133	0.3955	1.1277
99	6936	151	0	0	19.7333	11.7364	4.4055	0.4133	1.1308
100	6942	158	0	0	19.7229	11.7107	4.3958	0.4249	1.1351
101	6947	165	0	0	19.7111	11.6706	4.3851	0.4439	1.1401
102	6949	168	0	0	19.6994	11.6368	4.3752	0.4644	1.1452
103	6963	183	0	0	19.6962	11.6289	4.3731	0.4763	1.1470
104	6975	196	0	0	19.6714	11.5555	4.3506	0.4940	1.1565
105	6987	208	0	0	19.6508	11.5047	4.3341	0.5013	1.1654
106	6998	219	0	0	19.6317	11.4638	4.3181	0.4977	1.1736
107	7011	232	0	0	19.6139	11.4142	4.3053	0.5030	1.1813
108	7018	240	0	0	19.5938	11.3630	4.2882	0.5657	1.1897
109	7030	253	0	0	19.5829	11.3438	4.2793	0.6133	1.1948
110	7040	263	0	0	19.5618	11.2800	4.2621	0.6329	1.2034
111	7048	271	0	0	19.5459	11.2295	4.2514	0.6411	1.2104
112	7059	283	0	0	19.5326	11.1896	4.2421	0.6790	1.2163
113	7071	296	0	0	19.5126	11.1010	4.2282	0.7337	1.2246
114	7083	308	0	0	19.4918	11.0321	4.2126	0.7700	1.2334
115	7099	324	0	0	19.4750	10.9881	4.2009	0.7532	1.2408
116	7109	334	0	0	19.4500	10.9234	4.1829	0.8080	1.2510
117	7130	355	0	0	19.4352	10.8869	4.1736	0.8466	1.2579
118	7144	370	0	0	19.3999	10.7834	4.1506	0.8876	1.2719
119	7159	386	0	0	19.3759	10.7087	4.1356	0.9556	1.2827
120	7179	406	0	0	19.3522	10.6443	4.1212	0.9917	1.2930
121	7203	430	0	0	19.3252	10.5834	4.1022	1.0168	1.3041
122	7229	457	0	0	19.2892	10.4857	4.0800	1.0417	1.3189
123	7241	469	0	0	19.2521	10.3932	4.0565	1.0939	1.3345
124	7256	485	0	0	19.2319	10.3349	4.0468	1.1388	1.3439
125	7274	503	0	0	19.2078	10.2657	4.0324	1.1763	1.3541
126	7293	523	0	0	19.1803	10.2029	4.0157	1.2223	1.3657
127	7316	546	0	0	19.1496	10.1096	3.9989	1.2453	1.3786
128	7345	576	0	0	19.1152	9.9756	3.9809	1.2816	1.3930
129	7374	606	0	0	19.0685	9.9102	3.9569	1.3236	1.4122
130	7401	634	0	0	19.0225	9.8046	3.9333	1.3914	1.4319
131	7427	660	0	0	18.9810	9.6971	3.9137	1.4531	1.4498
132	7460	693	0	0	18.9419	9.5538	3.8949	1.5244	1.4665
133	7495	729	0	0	18.8906	9.4182	3.8704	1.5950	1.4877
134	7536	772	0	0	18.8318	9.1218	3.8485	1.6478	1.5125
135	7563	799	0	0	18.7699	8.9685	3.8202	1.7217	1.5386
136	7598	835	0	0	18.7321	8.8643	3.8046	1.7942	1.5558
137	7642	879	0	0	18.6753	8.7189	3.7810	1.8412	1.5791
138	7677	915	0	0	18.6096	8.5479	3.7543	1.8974	1.6065
139	7713	951	0	0	18.5561	8.4181	3.7316	1.9608	1.6297
140	7751	990	0	0	18.5036	8.2879	3.7121	2.0236	1.6521
141	7794	1034	0	0	18.4459	8.1303	3.6904	2.0739	1.6762
142	7837	1077	0	0	18.3777	7.9443	3.6660	2.1339	1.7048
143	7898	1138	0	0	18.3149	7.7765	3.6462	2.2091	1.7317
144	7941	1181	0	0	18.2263	7.5479	3.6148	2.2942	1.7680
145	8006	1246	0	0	18.1649	7.3889	3.5959	2.3609	1.7952
146	8059	1300	0	0	18.0745	5.0332	3.5663	2.4343	1.8319
147	8123	1364	0	0	17.9948	5.0076	3.5393	2.5306	1.8661
148	8176	1418	0	0	17.8982	6.7101	3.5110	2.6130	1.9063
149	8237	1479	0	0	17.8209	6.5093	3.4878	2.6822	1.9399
150	8294	1536	0	0	17.7286	6.2687	3.4621	2.7885	1.9785
151	8350	1592	0	0	17.6438	6.0403	3.4405	2.9047	2.0148
152	8418	1660	0	0	17.5659	5.8430	3.4184	3.0010	2.0483
153	8475	1718	0	0	17.4690	5.5935	3.3924	3.0900	2.0883
154	8547	1790	0	0	17.3870	5.2383	3.3713	3.1689	2.1237
155	8610	1853	0	0	17.2924	5.0342	3.3439	3.2441	2.1629
156	8679	1922	0	0	17.2068	4.8355	3.3222	3.3154	2.1991
157	8751	1995	0	0	17.1085	4.5983	3.2989	3.3778	2.2401
158	8827	2072	0	0	17.0064	4.3522	3.2743	3.4462	2.2830
159	8894	2140	0	0	16.9013	4.1108	3.2486	3.5184	2.3271
160	8981	2227	0	0	16.8080	3.9029	3.2288	3.6044	2.3670
161	9049	2300	0	0	16.6917	3.6464	3.1995	3.6959	2.4147
162	9131	2382	0	0	16.5912	3.4376	3.1773	3.7568	2.4577
163	9209	2462	0	0	16.4861	3.2262	3.1509	3.8238	2.5016
164	9289	2543	0	0	16.3866	3.0284	3.1275	3.8770	2.5434
165	9381	2635	0	0	16.2787	2.8032	3.1042	3.9211	2.5882
166	9480	2736	0	0	16.1601	2.5641	3.0781	3.9790	2.6372
167	9573	2831	0	0	16.0234	2.2639	3.0518	4.0302	2.6937
168	9660	2919	0	0	15.9149	2.0606	3.0235	4.1302	2.7399
169	9765	3026	0	0	15.8044	0.1096	3.0012	4.1768	2.7858
170	9865	3128	0	0	15.6697	1.5787	2.9732	4.2230	2.8409
171	9949	3213	0	0	15.5463	1.3472	2.9445	4.2735	2.8925
172	10036	3300	1	0	15.4510	1.1759	2.9228	4.3217	2.9330
173	10131	3396	1	0	15.3503	0.9911	2.8995	4.3534	2.9742
174	10219	3483	3	0	15.2337	0.7753	2.8756	4.3997	3.0217
175	10316	3574	10	0	15.1328	0.6092	2.8525	4.4215	3.0639
176	10398	3650	18	0	15.0331	0.4596	2.8293	4.4158	3.1049
177	10501	3750	24	0	14.9499	0.3388	2.8116	4.4343	3.1397
178	10609	3850	35	0	14.8440	0.1756	2.7857	4.4473	3.1821
179	10700	3927	54	0	14.7449	0.0000	2.7586	4.4374	3.2227
180	10807	4021	69	0	14.6679	0.0000	2.7374	4.4270	3.2549
181	10928	4132	82	0	14.5758	0.0000	2.7117	4.4218	3.2915
182	11057	4253	91	0	14.4642	0.0000	2.6810	4.4151	3.3357
183	11165	4353	107	0	14.3377	0.0000	2.6518	4.3954	3.3868
184	11263	4441	123	0	14.2454	0.0000	2.6274	4.4181	3.4260
185	11363	4537	131	0	14.1558	0.0000	2.6052	4.4566	3.4635
186	11468	4635	140	0	14.0718	0.0000	2.5816	4.4815	3.4988
187	11566	4725	151	0	13.9850	0.0000	2.5570	4.4974	3.5348
188	11706	4852	173	0	13.9026	0.0000	2.5369	4.5173	3.5700
189	11831	4970	185	0	13.7905	0.0000	2.5064	4.4959	3.6165
190	11961	5093	201	0	13.6971	0.0000	2.4800	4.5228	3.6570
191	12103	5229	209	0	13.5955	0.0000	2.4521	4.5420	3.7006
192	12233	5353	217	0	13.4869	0.0000	2.4221	4.5271	3.7478
193	12348	5465	225	0	13.3907	0.0000	2.3952	4.5428	3.7904
194	12482	5583	246	0	13.3048	0.0000	2.3716	4.5543	3.8285
195	12629	5719	264	0	13.2284	0.0000	2.3443	4.5435	3.8603
