step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	6868	3	0	0	19.9598	19.4277	4.5744	0.0000	1.0321
1	6867	3	0	0	19.9550	12.7047	4.6680	0.0827	1.0342
2	6866	3	0	0	19.9551	12.7051	4.6444	0.0274	1.0344
3	6866	3	0	0	19.9547	12.7042	4.6458	0.0268	1.0344
4	6866	3	0	0	19.9546	12.7038	4.6433	0.0261	1.0344
5	6865	3	0	0	19.9545	12.7036	4.6423	0.0264	1.0344
6	6865	3	0	0	19.9545	12.7034	4.6414	0.0269	1.0343
7	6864	3	0	0	19.9545	12.7033	4.6407	0.0262	1.0343
8	6862	3	0	0	19.9545	12.7029	4.6402	0.0269	1.0343
9	6862	3	0	0	19.9547	12.7031	4.6399	0.1216	1.0342
10	6861	3	0	0	19.9548	12.7029	4.6394	0.1234	1.0342
11	6861	3	0	0	19.9549	12.7031	4.6394	0.1233	1.0342
12	6861	3	0	0	19.9550	12.7030	4.6390	0.1236	1.0341
13	6861	3	0	0	19.9552	12.7031	4.6389	0.1293	1.0341
14	6859	3	0	0	19.9553	12.7031	4.6387	0.1243	1.0341
15	6858	3	0	0	19.9555	12.7038	4.6386	0.1263	1.0340
16	6858	3	0	0	19.9557	12.7040	4.6386	0.1232	1.0340
17	6858	3	0	0	19.9558	12.7033	4.6385	0.1243	1.0340
18	6857	3	0	0	19.9559	12.7033	4.6384	0.1201	1.0340
19	6856	3	0	0	19.9561	12.7034	4.6385	0.1233	1.0339
20	6856	3	0	0	19.9563	12.7036	4.6386	0.1239	1.0339
21	6855	3	0	0	19.9564	12.7037	4.6386	0.1226	1.0339
22	6855	3	0	0	19.9567	12.7040	4.6388	0.1254	1.0338
23	6855	3	0	0	19.9568	12.7040	4.6386	0.1248	1.0338
24	6855	3	0	0	19.9569	12.7042	4.6389	0.1251	1.0338
25	6855	3	0	0	19.9570	12.7043	4.6387	0.1217	1.0338
26	6856	4	0	0	19.9571	12.7044	4.6389	0.1254	1.0337
27	6856	4	0	0	19.9554	12.6940	4.6363	0.1233	1.0344
28	6856	4	0	0	19.9555	12.6941	4.6369	0.1213	1.0345
29	6857	5	0	0	19.9556	12.6941	4.6368	0.1281	1.0345
30	6858	6	0	0	19.9538	12.6858	4.6342	0.1290	1.0352
31	6857	6	0	0	19.9520	12.6765	4.6322	0.1314	1.0359
32	6855	6	0	0	19.9521	12.6757	4.6326	0.1368	1.0360
33	6854	6	0	0	19.9523	12.6759	4.6327	0.1325	1.0360
34	6852	6	0	0	19.9524	12.6759	4.6327	0.1393	1.0360
35	6851	6	0	0	19.9526	12.6763	4.6329	0.1390	1.0359
36	6851	6	0	0	19.9527	12.6763	4.6330	0.1342	1.0359
37	6850	6	0	0	19.9528	12.6763	4.6331	0.1343	1.0359
38	6850	6	0	0	19.9530	12.6764	4.6332	0.1351	1.0358
39	6851	7	0	0	19.9531	12.6765	4.6333	0.1380	1.0358
40	6852	8	0	0	19.9513	12.3676	4.6309	0.1384	1.0365
41	6849	8	0	0	19.9496	12.6577	4.6289	0.1456	1.0373
42	6849	8	0	0	19.9498	12.6589	4.6296	0.1538	1.0373
43	6849	8	0	0	19.9499	12.6604	4.6295	0.1514	1.0373
44	6849	8	0	0	19.9500	12.6605	4.6297	0.1547	1.0373
45	6847	8	0	0	19.9500	12.6605	4.6297	0.1539	1.0373
46	6845	9	0	0	19.9502	12.6594	4.6300	0.1609	1.0373
47	6845	10	0	0	19.9484	12.6501	4.6277	0.1587	1.0380
