step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
86	63087	154	0	0	19.5088	10.8190	3.4653	0.4574	1.3064
87	63094	164	0	0	19.4997	10.7776	3.4633	0.5033	1.3103
88	63096	175	0	0	19.4854	10.7056	3.4593	0.5309	1.3147
89	63098	186	0	0	19.4692	10.6308	3.4555	0.5445	1.3196
90	63097	193	0	0	19.4530	10.5571	3.4516	0.5565	1.3251
91	63099	203	0	0	19.4420	10.4964	3.4504	0.5732	1.3303
92	63105	217	0	0	19.4273	10.4236	3.4467	0.5924	1.3358
93	63100	222	0	0	19.4070	10.3336	3.4424	0.5866	1.3420
94	63108	236	0	0	19.3985	10.3000	3.4413	0.6123	1.3476
95	63111	247	0	0	19.3792	10.2035	3.4359	0.6206	1.3538
96	63113	256	0	0	19.3632	10.0508	3.4329	0.6473	1.3602
97	63121	269	0	0	19.3495	9.9840	3.4303	0.6571	1.3664
98	63130	284	0	0	19.3307	9.8926	3.4260	0.6931	1.3730
99	63141	302	0	0	19.3085	9.7852	3.4218	0.7019	1.3802
100	63149	318	0	0	19.2820	9.6509	3.4169	0.7207	1.3884
101	63157	332	0	0	19.2582	9.5418	3.4127	0.7534	1.3970
102	63166	347	0	0	19.2371	9.4327	3.4093	0.7807	1.4058
103	63176	363	0	0	19.2149	9.3381	3.4046	0.8046	1.4146
104	63188	381	0	0	19.1910	9.2249	3.4007	0.8233	1.4237
105	63199	399	0	0	19.1643	9.0962	3.3962	0.8393	1.4333
106	63201	413	0	0	19.1375	8.9618	3.3917	0.8606	1.4433
107	63214	435	0	0	19.1168	8.8704	3.3890	0.9001	1.4531
108	63231	456	0	0	19.0858	8.7017	3.3826	0.9512	1.4636
109	63247	477	0	0	19.0544	8.5380	3.3788	1.0045	1.4747
110	63263	500	0	0	19.0232	8.3744	3.3733	1.0683	1.4863
111	63286	528	0	0	18.9890	8.2067	3.3695	1.0985	1.4985
112	63303	550	0	0	18.9474	8.0165	3.3633	1.1570	1.5119
113	63320	576	0	0	18.9140	7.8426	3.3590	1.1718	1.5256
114	63339	603	0	0	18.8762	7.6673	3.3528	1.2132	1.5398
115	63355	624	0	0	18.8366	7.4852	3.3479	1.2505	1.5546
116	63371	650	0	0	18.8048	7.3521	3.3438	1.2889	1.5690
117	63389	675	0	0	18.7675	7.2001	3.3378	1.2971	1.5838
118	63425	715	0	0	18.7306	6.9960	3.3337	1.3376	1.5986
119	63454	750	0	0	18.6734	6.7284	3.3261	1.3349	1.6156
120	63476	778	0	0	18.6215	6.4881	3.3205	1.3730	1.6338
121	63508	819	0	0	18.5792	6.2940	3.3156	1.4206	1.6519
122	63528	846	0	0	18.5203	5.9764	3.3093	1.4662	1.6716
123	63570	892	0	0	18.4783	5.7726	3.3063	1.5129	1.6907
124	63600	928	0	0	18.4136	5.4669	3.2975	1.5751	1.7118
