time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
15.0	63363	20	27	63364	13	3103	2974	1
18.0	63363	27	30	63365	24	3103	2974	2
20.0	63361	20	10	63366	28	3010	2944	1
21.0	63361	10	12	63367	7	3010	2944	2
22.0	63361	12	14	63368	10	3010	2944	3
26.0	63365	24	21	63369	27	3041	2943	3
28.0	63362	20	16	63370	22	3373	2694	1
33.0	63365	21	23	63371	19	2981	2921	4
35.0	63370	22	25	63372	18	3446	2699	2
39.0	63361	14	13	63373	15	3046	2907	4
40.0	63362	16	17	63374	15	3373	2694	2
40.0	63361	13	14	63375	10	3046	2907	5
42.0	63364	13	12	63376	14	3052	3059	2
42.0	63365	23	21	63377	23	2981	2921	5
43.0	63367	7	8	63378	6	3027	2923	3
45.0	63363	30	29	63379	29	3551	2914	3
45.0	63370	25	22	63380	26	3568	2637	3
47.0	63362	17	16	63381	18	3532	2725	3
48.0	63362	16	14	63382	17	3532	2725	4
48.0	63368	10	11	63383	9	2989	2944	4
48.0	63374	15	14	63384	16	3239	2674	3
49.0	63377	23	24	63385	20	2977	3113	6
50.0	63368	11	11	63386	11	2989	2944	5
50.0	63361	14	6	63387	22	3046	2907	6
52.0	63367	8	7	63388	9	3027	2923	4
52.0	63365	21	20	63389	21	2958	2921	6
53.0	63362	14	14	63390	14	3573	2701	5
54.0	63366	28	30	63391	26	2523	2640	2
54.0	63378	6	2	63392	7	2988	2907	4
54.0	63365	20	20	63393	18	2958	2921	7
55.0	63374	14	15	63394	13	3192	2674	4
56.0	63368	11	9	63395	13	3001	2956	6
57.0	63362	14	12	63396	12	3599	2662	6
57.0	63377	24	24	63397	24	3055	3312	7
57.0	63363	29	32	63398	26	3620	2926	4
59.0	63367	7	5	63399	7	3027	2923	5
59.0	63388	9	9	63400	9	3010	2906	5
59.0	63362	12	10	63401	14	3618	2620	7
60.0	63374	15	12	63402	18	3143	2657	5
60.0	63364	12	9	63403	13	3052	3059	3
61.0	63362	10	10	63404	10	3663	2550	8
61.0	63386	11	16	63405	5	2989	2926	6
63.0	63370	22	18	63406	24	3563	2573	4
64.0	63380	26	27	63407	23	3672	2411	4
64.0	63362	10	8	63408	11	3737	2449	9
65.0	63369	27	31	63409	22	3319	2530	4
67.0	63369	31	36	63410	26	3319	2530	5
67.0	63361	6	8	63411	4	3062	2891	7
67.0	63390	14	12	63412	15	3564	2748	6
68.0	63386	16	19	63413	11	2989	2926	7
68.0	63374	12	15	63414	8	3143	2657	6
68.0	63363	32	35	63415	26	3808	2677	5
69.0	63382	17	16	63416	16	3484	2730	5
70.0	63377	24	23	63417	24	3237	3391	8
70.0	63381	18	13	63418	22	3512	2684	4
70.0	63387	22	21	63419	23	3062	2870	7
70.0	63371	19	19	63420	19	3057	2792	5
70.0	63383	9	6	63421	12	2975	2981	5
71.0	63388	9	10	63422	8	3010	2906	6
71.0	63374	15	15	63423	15	3156	2707	7
71.0	63387	21	25	63424	16	3062	2870	8
71.0	63383	6	8	63425	4	2975	2981	6
71.0	63372	18	15	63426	20	3709	2935	3
72.0	63394	13	10	63427	14	3176	2658	5
72.0	63387	25	23	63428	26	3062	2870	9
73.0	63389	21	21	63429	18	2968	2959	7
73.0	63363	35	33	63430	36	3871	2624	6
73.0	63379	29	37	63431	20	3200	3127	4
74.0	63406	24	23	63432	24	3749	2675	5
74.0	63378	2	2	63433	1	2988	2907	5
74.0	63375	10	12	63434	8	3031	2871	6
74.0	63379	37	33	63435	37	3200	3127	5
75.0	63413	11	12	63436	9	3009	2926	8
75.0	63412	15	17	63437	12	3510	2737	7
75.0	63367	5	4	63438	6	3043	2939	6
