cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	egfr_expression	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion	activation_level	exhaustion_level	kills_performed
74482	53023	6	Tumor	5567	827	6.1457	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9917	G1	17	EGFR	57.6915	8.44	0.7526	True	False	31	268.0	77.69	1055.73	0.0000	0.0000	0
74483	56532	6	Tumor	5475	4741	1.6034	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9724	G0	11	EGFR	48.4045	4.37	0.3144	True	True	14	268.0	68.40	1017.44	0.0000	0.0000	0
74484	54972	6	Tumor	223	5058	5.7677	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.3679	G2	21	EGFR	65.1974	13.32	1.8860	True	False	27	268.0	85.20	1084.47	0.0000	0.0000	0
74485	55111	6	Tumor	196	4616	4.3660	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.2693	G1	33	EGFR	100.4897	10.03	1.0192	True	False	17	268.0	120.49	1201.47	0.0000	0.0000	0
74486	45827	6	Tumor	2868	131	2.4875	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8982	S	4	EGFR	18.5632	12.40	1.7235	True	False	18	268.0	38.56	858.51	0.0000	0.0000	0
74487	65475	6	Tumor	275	2491	5.5089	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8408	G0	30	EGFR	100.8272	6.53	0.5324	True	True	20	268.0	120.83	1202.48	0.0000	0.0000	0
74488	60782	6	Tumor	210	5729	-1.3445	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.2049	G2	26	EGFR	81.3294	16.08	2.4662	True	False	18	268.0	101.33	1141.10	0.0000	0.0000	0
74489	59112	6	Tumor	5522	765	2.4260	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8751	G0	18	EGFR	65.7596	5.75	0.4119	True	True	23	268.0	85.76	1086.55	0.0000	0.0000	0
74491	57529	6	Tumor	58	2939	6.2801	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.0081	G2	19	EGFR	60.8874	16.69	3.2493	True	False	20	268.0	80.89	1068.18	0.0000	0.0000	0
74492	61970	6	Tumor	4866	5970	3.4102	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.0254	S	20	EGFR	71.2284	16.56	2.9515	True	False	27	268.0	91.23	1106.38	0.0000	0.0000	0
74493	47406	6	Tumor	5899	3616	6.2543	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8822	M	37	EGFR	113.0972	15.57	2.7856	True	False	20	268.0	133.10	1238.08	0.0000	0.0000	0
74494	57083	6	Tumor	2977	377	1.4213	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9857	G0	12	EGFR	44.2151	7.73	0.7553	True	True	23	268.0	64.22	998.97	0.0000	0.0000	0
74495	59600	6	Tumor	5676	164	1.4166	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9825	G2	47	EGFR	158.8833	14.77	2.1005	True	False	30	268.0	178.88	1356.29	0.0000	0.0000	0
74496	52445	6	Tumor	861	4604	-0.1685	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9263	G0	32	EGFR	105.5084	2.73	0.2125	True	True	16	268.0	125.51	1216.30	0.0000	0.0000	0
74497	50000	6	Tumor	433	4076	-1.8556	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.1145	S	11	EGFR	38.0988	6.50	0.5904	True	False	20	268.0	58.10	970.35	0.0000	0.0000	0
74498	54641	6	Tumor	279	1520	6.0221	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.0721	G1	29	EGFR	86.2518	9.58	1.0192	True	False	19	268.0	106.25	1157.23	0.0000	0.0000	0
74499	51091	6	Tumor	1218	5889	3.8494	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.1730	G1	47	EGFR	144.2177	16.30	3.0270	True	False	22	268.0	164.22	1320.54	0.0000	0.0000	0
74500	49133	6	Tumor	5433	5635	1.5604	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.0143	S	29	EGFR	119.3572	10.94	1.1281	True	False	26	268.0	139.36	1255.50	0.0000	0.0000	0
74501	51642	6	Tumor	3185	5695	0.8129	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8959	G2	21	EGFR	72.5344	6.11	0.5309	True	False	23	268.0	92.53	1111.00	0.0000	0.0000	0
74502	57467	6	Tumor	1180	321	6.1020	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.0571	S	11	EGFR	49.0352	3.16	0.0934	True	False	24	268.0	69.04	1020.15	0.0000	0.0000	0
74503	64392	6	Tumor	2149	89	2.2714	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.0272	S	24	EGFR	67.5329	15.86	2.9259	True	False	29	268.0	87.53	1093.07	0.0000	0.0000	0
74504	45125	6	Tumor	15	546	2.1200	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.2225	G1	27	EGFR	29.8515	18.01	3.8320	False	False	24	268.0	24.93	185.56	0.0000	0.0000	0
74505	56788	6	Tumor	1472	5530	0.9014	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9405	G2	28	EGFR	85.9062	2.67	0.1485	True	False	21	268.0	105.91	1156.11	0.0000	0.0000	0
74506	59022	6	Tumor	953	220	0.2533	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.1100	G0	44	EGFR	152.2561	5.50	0.0000	True	True	24	268.0	172.26	1340.35	0.0000	0.0000	0
74507	54970	6	Tumor	704	57	1.2118	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8181	M	10	EGFR	34.5055	16.44	2.9684	True	False	23	268.0	54.51	952.45	0.0000	0.0000	0
74508	52398	6	Tumor	985	729	0.8063	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.1278	G0	48	EGFR	160.6674	5.92	0.4128	True	True	24	268.0	180.67	1360.53	0.0000	0.0000	0
74509	65227	6	Tumor	2105	5826	3.8000	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.0956	S	16	EGFR	62.3784	9.82	0.9701	True	False	26	268.0	82.38	1073.88	0.0000	0.0000	0
74510	66678	6	Tumor	5719	1724	3.8791	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.2141	S	28	EGFR	93.6036	7.58	0.8131	True	False	27	268.0	113.60	1180.49	0.0000	0.0000	0
74511	57430	6	Tumor	5723	3569	4.5786	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.0813	G0	24	EGFR	79.1142	7.78	0.7538	True	True	23	268.0	99.11	1133.68	0.0000	0.0000	0
74512	60117	6	Tumor	277	3426	1.7355	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9287	M	23	EGFR	77.4457	9.88	1.1318	True	False	21	268.0	97.45	1128.02	0.0000	0.0000	0
74513	63207	6	Tumor	5662	4356	0.9101	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9831	G0	17	EGFR	55.9196	7.31	0.6798	True	True	19	268.0	75.92	1048.68	0.0000	0.0000	0
74514	69837	6	Tumor	182	914	1.5850	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.7086	G1	21	EGFR	72.4976	8.61	0.6305	True	False	22	268.0	92.50	1110.87	0.0000	0.0000	0
74515	52074	6	Tumor	4299	83	0.3761	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9647	G1	10	EGFR	38.9702	15.90	2.9123	True	False	25	268.0	58.97	974.56	0.0000	0.0000	0
74516	58082	6	Tumor	544	4663	3.4463	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8709	G0	22	EGFR	80.3968	3.95	0.2697	True	True	21	268.0	100.40	1137.99	0.0000	0.0000	0
74517	64832	6	Tumor	2960	79	5.3732	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.1864	S	26	EGFR	89.4724	15.63	2.7900	True	False	25	268.0	109.47	1167.54	0.0000	0.0000	0
74518	50434	6	Tumor	1019	756	1.6143	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8617	G0	21	EGFR	78.7198	5.84	0.4119	True	True	23	268.0	98.72	1132.35	0.0000	0.0000	0
74519	63834	6	Tumor	1256	5166	5.8958	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.3356	G0	6	EGFR	27.1429	5.71	0.6286	True	True	20	268.0	47.14	912.59	0.0000	0.0000	0
74521	65416	6	Tumor	1845	5837	1.2883	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.4974	G1	27	EGFR	96.7275	10.33	1.0690	True	False	20	268.0	116.73	1190.10	0.0000	0.0000	0
74522	58032	6	Tumor	4170	204	5.7308	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8587	S	33	EGFR	105.5846	8.21	0.6374	True	False	22	268.0	125.58	1216.53	0.0000	0.0000	0
74523	64086	6	Tumor	3367	5762	4.1043	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.0411	G1	17	EGFR	64.2122	9.55	1.0598	True	False	22	268.0	84.21	1080.79	0.0000	0.0000	0
74524	58456	6	Tumor	525	2613	-0.3924	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8465	G0	39	EGFR	129.1719	4.83	0.4906	True	True	21	268.0	149.17	1281.92	0.0000	0.0000	0
74525	59688	6	Tumor	184	1596	1.8998	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9464	G0	32	EGFR	109.8260	9.29	0.9389	True	True	24	268.0	129.83	1228.79	0.0000	0.0000	0
74526	59818	6	Tumor	306	1546	2.8309	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8217	G1	31	EGFR	105.3110	8.56	0.8479	True	False	29	268.0	125.31	1215.73	0.0000	0.0000	0
74527	54506	6	Tumor	4371	5703	5.4655	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9905	G2	23	EGFR	76.9695	4.53	0.1312	True	False	20	268.0	96.97	1126.39	0.0000	0.0000	0
74528	62263	6	Tumor	1195	267	2.0068	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.2138	G2	27	EGFR	79.5771	9.65	1.0296	True	False	22	268.0	99.58	1135.24	0.0000	0.0000	0
74529	62205	6	Tumor	3299	5930	5.9496	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.4393	G1	11	EGFR	36.3274	16.46	3.1573	True	False	22	268.0	56.33	961.63	0.0000	0.0000	0
74530	47268	8	Necrotic	4903	600	0.6987	M -0.5 -0.5 L 0.5 -0.5 L 0.5 0.5 L -0.5 0.5 Z	0.9641	G0	17	EGFR	58.8362	7.08	0.5525	True	True	19	268.0	0.00	0.00	0.0000	0.0000	0
74531	54283	6	Tumor	369	100	5.2032	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.2584	S	18	EGFR	57.2572	16.54	2.8803	True	False	27	268.0	77.26	1054.01	0.0000	0.0000	0
74532	64307	6	Tumor	5176	959	2.2647	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.9065	G0	15	EGFR	56.1360	5.67	0.3817	True	True	25	268.0	76.14	1049.54	0.0000	0.0000	0
74533	59855	6	Tumor	1348	5986	5.1758	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	0.8807	S	24	EGFR	26.7634	19.16	4.5163	False	False	25	268.0	23.38	182.08	0.0000	0.0000	0
74534	60853	6	Tumor	5738	1142	5.5085	M 0 -0.9 C 0.6 -0.9 0.9 -0.4 0.9 0 C 0.9 0.5 0.5 0.9 0 0.9 C -0.5 0.9 -0.9 0.5 -0.9 0 C -0.9 -0.4 -0.6 -0.9 0 -0.9 Z	1.3668	G1	42	EGFR	129.9639	9.90	1.0828	True	False	21	268.0	149.96	1284.01	0.0000	0.0000	0
