step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	63356	3	0	0	19.6987	18.9291	2.1181	0.0000	1.2294
1	63351	3	0	0	19.7258	12.2170	4.0421	0.0827	1.2298
2	63346	3	0	0	19.7279	12.2228	3.3904	0.1415	1.2301
3	63334	3	0	0	19.7241	12.2149	3.6501	0.1393	1.2304
4	63328	3	0	0	19.7224	12.2126	3.5320	0.1393	1.2306
5	63318	3	0	0	19.7209	12.2114	3.5725	0.1361	1.2307
6	63306	3	0	0	19.7200	12.2099	3.5493	0.1367	1.2308
7	63301	3	0	0	19.7195	12.2092	3.5538	0.1365	1.2308
8	63294	3	0	0	19.7190	12.2079	3.5476	0.1370	1.2308
9	63288	3	0	0	19.7186	12.2071	3.5467	0.1349	1.2308
10	63284	3	0	0	19.7183	12.2068	3.5442	0.1381	1.2308
11	63280	3	0	0	19.7179	12.2072	3.5423	0.1383	1.2307
12	63276	3	0	0	19.7177	12.2063	3.5407	0.1387	1.2307
13	63271	3	0	0	19.7174	12.2056	3.5392	0.1382	1.2307
14	63265	3	0	0	19.7173	12.2051	3.5378	0.1356	1.2306
15	63260	3	0	0	19.7171	12.2046	3.5368	0.1344	1.2306
16	63251	3	0	0	19.7171	12.2047	3.5358	0.1386	1.2305
17	63242	3	0	0	19.7172	12.2050	3.5349	0.1382	1.2305
18	63234	3	0	0	19.7172	12.2056	3.5341	0.1370	1.2304
19	63229	3	0	0	19.7173	12.2059	3.5335	0.1372	1.2304
20	63221	3	0	0	19.7173	12.2056	3.5329	0.1337	1.2303
21	63215	3	0	0	19.7174	12.2056	3.5323	0.1351	1.2303
22	63211	3	0	0	19.7175	12.2064	3.5320	0.1369	1.2302
23	63207	3	0	0	19.7175	12.2062	3.5313	0.1352	1.2302
24	63198	3	0	0	19.7175	12.2059	3.5309	0.1358	1.2301
25	63193	3	0	0	19.7177	12.2062	3.5305	0.1362	1.2301
26	63188	3	0	0	19.7179	12.2076	3.5302	0.1344	1.2300
27	63179	3	0	0	19.7180	12.2075	3.5300	0.1348	1.2300
28	63171	4	0	0	19.7182	12.2083	3.5298	0.1368	1.2299
29	63154	4	0	0	19.7171	12.1947	3.5290	0.1339	1.2300
30	63148	4	0	0	19.7175	12.1959	3.5294	0.1514	1.2300
31	63143	4	0	0	19.7178	12.1967	3.5292	0.1541	1.2300
32	63137	4	0	0	19.7179	12.1970	3.5289	0.1577	1.2300
33	63132	4	0	0	19.7181	12.1973	3.5289	0.1536	1.2300
34	63125	4	0	0	19.7182	12.1972	3.5287	0.1562	1.2300
35	63115	4	0	0	19.7184	12.1976	3.5285	0.1541	1.2300
36	63107	4	0	0	19.7186	12.1980	3.5283	0.1592	1.2299
37	63101	5	0	0	19.7188	12.1984	3.5282	0.1538	1.2299
38	63095	5	0	0	19.7175	12.1858	3.5276	0.1397	1.2300
39	63089	5	0	0	19.7175	12.1859	3.5275	0.1616	1.2301
40	63079	5	0	0	19.7176	12.1859	3.5275	0.1610	1.2301
41	63072	5	0	0	19.7179	12.1865	3.5275	0.1591	1.2301
42	63066	5	0	0	19.7181	12.1888	3.5274	0.1558	1.2302
43	63063	6	0	0	19.7184	12.1902	3.5276	0.1504	1.2301
44	63062	6	0	0	19.7172	12.1813	3.5268	0.1527	1.2303
45	63059	7	0	0	19.7170	12.1823	3.5267	0.1545	1.2304
46	63052	7	0	0	19.7157	12.1743	3.5259	0.1595	1.2306
47	63044	7	0	0	19.7157	12.1749	3.5261	0.1581	1.2307
48	63040	7	0	0	19.7160	12.1755	3.5261	0.1561	1.2309
49	63035	8	0	0	19.7161	12.1773	3.5261	0.1569	1.2309
50	63030	10	0	0	19.7151	12.1702	3.5259	0.1549	1.2311
51	63025	10	0	0	19.7125	11.8713	3.5248	0.1496	1.2315
52	63020	11	0	0	19.7124	11.8714	3.5250	0.1659	1.2319
53	63013	11	0	0	19.7112	11.8658	3.5244	0.1691	1.2322
54	63006	11	0	0	19.7113	11.8663	3.5247	0.1720	1.2325
55	63000	11	0	0	19.7115	12.1512	3.5246	0.1593	1.2328
56	62995	11	0	0	19.7117	12.1519	3.5248	0.1576	1.2329
57	62991	11	0	0	19.7118	12.1519	3.5247	0.1543	1.2330
58	62983	11	0	0	19.7120	12.1522	3.5247	0.1567	1.2331
59	62972	11	0	0	19.7122	12.1532	3.5247	0.1568	1.2331
60	62967	11	0	0	19.7126	12.1543	3.5249	0.1559	1.2331
61	62961	13	0	0	19.7127	12.1544	3.5249	0.1558	1.2331
62	62958	17	0	0	19.7103	12.1371	3.5238	0.1558	1.2333
63	62944	17	0	0	19.7048	12.1047	3.5216	0.1660	1.2341
64	62937	18	0	0	19.7047	12.1044	3.5227	0.1741	1.2347
65	62931	19	0	0	19.7036	11.9684	3.5219	0.1812	1.2353
66	62926	19	0	0	19.7023	11.9666	3.5215	0.1759	1.2359
67	62921	20	0	0	19.7023	11.9682	3.5216	0.1718	1.2364
68	62917	21	0	0	19.7011	11.9665	3.5210	0.1688	1.2368
69	62913	21	0	0	19.6998	12.0803	3.5204	0.1727	1.2373
70	62912	23	0	0	19.6998	12.0807	3.5207	0.1822	1.2377
71	62905	25	0	0	19.6973	12.0656	3.5195	0.1811	1.2383
72	62902	28	0	0	19.6946	12.0518	3.5189	0.1816	1.2390
73	62897	28	0	0	19.6904	12.0214	3.5173	0.1855	1.2399
74	62888	29	0	0	19.6901	12.0228	3.5177	0.1930	1.2407
75	62877	29	0	0	19.6890	12.0143	3.5173	0.1944	1.2414
76	62872	30	0	0	19.6891	12.0153	3.5175	0.2058	1.2420
77	62869	31	0	0	19.6880	12.0086	3.5171	0.2078	1.2425
78	62869	33	0	0	19.6866	12.0026	3.5164	0.1992	1.2431
79	62864	35	0	0	19.6839	11.9957	3.5153	0.1967	1.2438
80	62858	35	0	0	19.6814	11.9865	3.5145	0.1972	1.2446
81	62856	37	0	0	19.6813	11.9866	3.5147	0.2124	1.2452
82	62853	40	0	0	19.6789	11.9767	3.5137	0.1981	1.2459
83	62849	41	0	0	19.6748	11.9295	3.5126	0.1947	1.2469
84	62841	43	0	0	19.6732	11.9519	3.5123	0.2080	1.2478
85	62841	45	0	0	19.6707	11.9300	3.5114	0.1971	1.2487
86	62832	47	0	0	19.6677	11.9125	3.5106	0.2212	1.2498
87	62828	48	0	0	19.6651	11.8991	3.5097	0.2320	1.2508
88	62826	50	0	0	19.6637	11.8921	3.5095	0.2286	1.2518
89	62827	54	0	0	19.6610	11.8802	3.5084	0.2298	1.2528
90	62827	61	0	0	19.6557	11.8567	3.5065	0.2277	1.2542
91	62819	63	0	0	19.6457	11.7993	3.5032	0.2343	1.2561
92	62815	67	0	0	19.6425	11.7871	3.5035	0.2495	1.2580
93	62814	70	0	0	19.6370	11.7549	3.5009	0.2585	1.2600
94	62817	74	0	0	19.6327	11.7350	3.5003	0.2631	1.2620
95	62815	76	0	0	19.6269	11.6990	3.4982	0.2717	1.2641
96	62814	82	0	0	19.6237	11.6819	3.4978	0.2775	1.2659
