step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
89	429	48	0	0	19.9296	12.4800	4.9168	0.1640	1.0117
90	432	51	0	0	19.9203	12.4765	4.9100	0.1899	1.0132
91	432	51	0	0	19.9128	12.7673	4.9042	0.2147	1.0146
92	433	52	0	0	19.9123	12.4728	4.9035	0.2295	1.0149
93	434	53	0	0	19.9127	12.4719	4.9040	0.2233	1.0148
94	436	55	0	0	19.9110	12.4717	4.9034	0.2257	1.0148
95	437	56	0	0	19.9070	12.4706	4.9012	0.2288	1.0151
96	436	56	0	0	19.9043	12.4706	4.8988	0.2221	1.0158
97	437	57	0	0	19.9065	12.4706	4.9001	0.2220	1.0156
98	441	61	0	0	19.9049	12.4706	4.8995	0.2239	1.0156
99	446	66	0	0	19.8959	12.4667	4.8932	0.2309	1.0168
100	447	67	0	0	19.8841	12.4633	4.8848	0.2488	1.0186
101	449	69	0	0	19.8818	12.4631	4.8834	0.2607	1.0189
102	450	70	0	0	19.8769	12.4747	4.8798	0.2659	1.0197
103	455	75	0	0	19.8742	12.4766	4.8776	0.2737	1.0202
104	457	77	0	0	19.8642	12.4756	4.8702	0.2324	1.0220
105	460	80	0	0	19.8593	12.4695	4.8666	0.2505	1.0228
106	463	84	0	0	19.8541	12.4681	4.8621	0.2471	1.0238
107	466	87	0	0	19.8466	12.4668	4.8562	0.2728	1.0251
108	469	90	0	0	19.8393	12.4671	4.8508	0.2795	1.0264
109	476	97	0	0	19.8310	12.4655	4.8438	0.2714	1.0282
110	481	102	0	0	19.8170	12.4626	4.8337	0.2807	1.0304
111	484	105	0	0	19.8081	12.4607	4.8280	0.3012	1.0315
112	487	108	0	0	19.8004	12.4586	4.8216	0.3071	1.0330
113	488	109	0	0	19.7948	12.4421	4.8168	0.3207	1.0343
114	492	113	0	0	19.7931	12.4421	4.8160	0.3295	1.0344
115	494	115	0	0	19.7829	12.4397	4.8076	0.3300	1.0364
116	502	123	0	0	19.7760	12.4069	4.8005	0.3361	1.0385
117	509	130	0	0	19.7573	12.3874	4.7850	0.3519	1.0423
118	516	137	0	0	19.7412	12.3605	4.7717	0.3470	1.0457
