time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
15.0	63363	20	17	63364	23	3100	3100	1
20.0	63361	20	22	63365	18	3009	2956	1
21.0	63363	17	15	63366	18	3100	3100	2
26.0	63363	15	15	63367	15	3100	3100	3
34.0	63364	23	23	63368	21	3114	3268	2
36.0	63361	22	18	63369	25	3017	2911	2
37.0	63362	20	17	63370	23	3313	3129	1
38.0	63364	23	25	63371	19	3114	3268	3
42.0	63366	18	20	63372	16	3131	3147	3
42.0	63367	15	8	63373	22	3149	3121	4
43.0	63363	15	9	63374	20	3100	3100	4
43.0	63361	18	16	63375	20	3017	2911	3
44.0	63365	18	19	63376	15	3002	2848	2
47.0	63371	19	16	63377	22	3145	3252	4
47.0	63364	25	29	63378	21	3080	3228	4
48.0	63369	25	24	63379	25	3019	3031	3
48.0	63371	16	17	63380	14	3145	3252	5
48.0	63363	9	9	63381	9	3100	3100	5
50.0	63370	23	23	63382	22	3399	3173	2
50.0	63365	19	20	63383	17	3002	2848	3
52.0	63363	9	11	63384	7	3100	3100	6
54.0	63362	17	13	63385	20	3193	3186	2
55.0	63366	20	21	63386	16	3131	3147	4
57.0	63367	8	8	63387	7	3149	3121	5
59.0	63364	29	32	63388	22	3080	3228	5
60.0	63372	16	13	63389	18	3117	3244	4
61.0	63371	17	15	63390	19	3145	3252	6
61.0	63367	8	6	63391	8	3149	3121	6
62.0	63380	14	15	63392	11	3155	3262	6
62.0	63367	6	7	63393	5	3149	3121	7
62.0	63365	20	14	63394	26	2995	2942	4
64.0	63365	14	11	63395	17	2995	2942	5
64.0	63368	21	21	63396	21	3279	3332	3
65.0	63368	21	18	63397	23	3279	3332	4
66.0	63362	13	11	63398	15	3080	3183	3
67.0	63366	21	18	63399	24	3131	3147	5
67.0	63363	11	16	63400	6	3100	3100	7
69.0	63369	24	27	63401	21	3071	3047	4
70.0	63372	13	11	63402	15	3138	3215	5
70.0	63374	20	16	63403	22	3133	3133	5
70.0	63378	21	19	63404	21	3080	3245	5
70.0	63370	23	31	63405	13	3399	3173	3
71.0	63362	11	10	63406	12	3080	3183	4
71.0	63381	9	12	63407	6	3122	3106	6
72.0	63362	10	10	63408	10	3080	3183	5
72.0	63382	22	19	63409	21	3299	3112	3
72.0	63367	7	8	63410	6	3169	3121	8
73.0	63370	31	22	63411	40	3399	3173	4
73.0	63390	19	18	63412	20	3161	3355	7
74.0	63386	16	16	63413	13	3116	3161	5
74.0	63363	16	14	63414	18	3110	3059	8
75.0	63381	12	9	63415	15	3122	3106	7
76.0	63362	10	9	63416	11	3080	3183	6
76.0	63369	27	22	63417	31	3071	3047	5
76.0	63376	15	13	63418	15	3020	2749	3
77.0	63366	18	20	63419	16	3131	3210	6
78.0	63371	15	14	63420	13	3145	3252	7
78.0	63386	16	16	63421	16	3116	3161	6
78.0	63384	7	6	63422	8	3111	3095	7
78.0	63374	16	14	63423	18	3133	3153	6
79.0	63386	16	21	63424	11	3116	3161	7
79.0	63369	22	25	63425	18	3071	3047	6
79.0	63375	20	14	63426	25	2911	3106	4
79.0	63389	18	20	63427	16	2989	3283	5
80.0	63383	17	15	63428	18	3055	2728	4
80.0	63375	14	10	63429	16	2911	3106	5
81.0	63387	7	5	63430	8	3225	3121	6
81.0	63377	22	18	63431	26	2839	3358	5
81.0	63388	22	20	63432	24	3063	3228	6
81.0	63396	21	19	63433	21	3201	3318	4
81.0	63380	15	11	63434	17	3155	3262	7
82.0	63393	5	5	63435	5	3149	3139	8
82.0	63400	6	5	63436	7	3100	3063	8
83.0	63372	11	11	63437	11	3138	3235	6
83.0	63371	14	13	63438	15	3125	3252	8
84.0	63419	16	13	63439	19	3100	3224	7
84.0	63370	22	26	63440	17	3395	3220	5
84.0	63383	15	18	63441	10	3055	2728	5
84.0	63381	9	11	63442	5	3122	3106	8
84.0	63362	9	13	63443	5	3080	3183	7
85.0	63386	21	15	63444	26	3116	3161	8
85.0	63375	10	9	63445	11	2911	3106	6
85.0	63388	20	13	63446	24	3063	3228	7
86.0	63378	19	22	63447	15	3080	3245	6
86.0	63377	18	14	63448	21	2721	3230	6
86.0	63390	18	16	63449	17	3136	3482	8
87.0	63401	21	19	63450	23	3113	3009	5
87.0	63421	16	15	63451	16	3116	3197	7
87.0	63396	19	27	63452	11	3201	3318	5
88.0	63383	18	18	63453	18	3055	2728	6
88.0	63385	20	19	63454	20	3182	3175	3
89.0	63379	25	23	63455	27	2916	2951	4
89.0	63418	15	16	63456	14	3041	2770	4
89.0	63413	13	14	63457	12	3134	3181	6
89.0	63397	23	15	63458	27	3260	3279	5
90.0	63400	5	6	63459	4	3100	3063	9
90.0	63419	13	15	63460	10	3100	3224	8
90.0	63373	22	25	63461	18	3368	3230	5
91.0	63363	14	13	63462	13	3145	3038	9
91.0	63418	16	17	63463	13	3041	2770	5
91.0	63400	6	6	63464	6	3100	3063	10
91.0	63405	13	16	63465	10	3496	3280	4
91.0	63417	31	37	63466	24	2965	2939	6
91.0	63412	20	14	63467	25	3023	3399	8
92.0	63367	8	7	63468	8	3209	3121	9
92.0	63405	16	12	63469	20	3496	3280	5
92.0	63387	5	7	63470	3	3249	3096	7
92.0	63369	25	29	63471	20	3071	3047	7
92.0	63406	12	14	63472	10	3080	3205	5
92.0	63404	21	20	63473	20	2964	3378	6
93.0	63410	6	6	63474	6	3221	3082	9
93.0	63380	11	6	63475	16	3155	3262	8
93.0	63369	29	26	63476	30	3071	3047	8
93.0	63364	32	22	63477	40	2962	3230	6
93.0	63367	7	8	63478	5	3209	3121	10
93.0	63454	20	20	63479	18	3243	3154	4
93.0	63395	17	14	63480	20	2997	2794	6
94.0	63395	14	13	63481	13	2997	2794	7
94.0	63454	20	20	63482	20	3243	3154	5
94.0	63398	15	13	63483	16	3066	3230	4
94.0	63382	19	19	63484	18	3220	3146	4
94.0	63424	11	9	63485	13	3116	3179	8
95.0	63424	9	11	63486	6	3116	3179	9
95.0	63403	22	17	63487	27	3193	3117	6
95.0	63387	7	8	63488	6	3249	3096	8
95.0	63388	13	13	63489	13	3049	3242	8
95.0	63394	26	29	63490	22	3049	2967	5
96.0	63376	13	10	63491	15	3020	2749	4
96.0	63370	26	19	63492	32	3395	3220	6
97.0	63392	11	12	63493	9	3034	3278	7
97.0	63404	20	21	63494	18	2964	3378	7
97.0	63415	15	10	63495	19	3122	3126	8
97.0	63433	21	19	63496	23	3201	3299	5
97.0	63372	11	11	63497	10	3138	3235	7
98.0	63420	13	13	63498	12	3246	3449	8
99.0	63414	18	16	63499	19	3209	2931	9
99.0	63364	22	17	63500	25	2962	3230	7
99.0	63367	8	5	63501	10	3275	3121	11
99.0	63404	21	21	63502	21	2910	3372	8
99.0	63373	25	25	63503	25	3406	3270	6
99.0	63363	13	15	63504	10	3183	3034	10
100.0	63431	26	31	63505	21	2802	3284	6
100.0	63364	17	15	63506	19	2962	3230	8
100.0	63378	22	25	63507	17	3093	3258	7
100.0	63451	16	19	63508	12	3116	3233	8
101.0	63471	20	18	63509	22	3042	3018	8
101.0	63397	15	9	63510	21	3260	3279	6
101.0	63375	9	9	63511	9	2911	3106	7
101.0	63465	10	8	63512	12	3654	3200	5
101.0	63384	6	3	63513	9	3111	3095	8
101.0	63406	14	15	63514	12	3080	3205	6
101.0	63386	15	13	63515	17	3116	3161	9
101.0	63402	15	17	63516	12	2997	3372	6
101.0	63379	23	23	63517	21	2916	2951	5
101.0	63366	20	21	63518	18	3131	3210	7
101.0	63382	19	22	63519	16	3220	3146	5
102.0	63410	6	5	63520	7	3221	3082	10
102.0	63366	21	19	63521	20	3131	3210	8
102.0	63395	13	13	63522	13	2997	2794	8
102.0	63380	6	4	63523	8	3155	3262	9
102.0	63419	15	11	63524	17	3100	3224	9
103.0	63436	7	4	63525	9	3118	3026	9
103.0	63383	18	17	63526	19	3055	2728	7
103.0	63389	20	21	63527	19	2989	3283	6
103.0	63417	37	42	63528	30	2670	2778	7
103.0	63399	24	25	63529	22	3163	3210	6
103.0	63388	13	16	63530	10	3049	3242	9
103.0	63439	19	23	63531	14	3028	3252	8
103.0	63423	18	14	63532	21	3149	3174	7
103.0	63426	25	37	63533	13	2872	3128	5
103.0	63395	13	9	63534	17	2997	2794	9
104.0	63375	9	9	63535	8	2911	3106	8
104.0	63428	18	11	63536	25	3046	2662	5
104.0	63493	9	8	63537	8	3034	3311	8
104.0	63413	14	19	63538	8	3134	3181	7
104.0	63397	9	10	63539	8	3260	3279	7
104.0	63368	18	22	63540	14	3600	3584	5
104.0	63373	25	33	63541	17	3406	3270	7
104.0	63422	8	8	63542	7	3126	3059	8
104.0	63423	14	13	63543	15	3162	3174	8
104.0	63454	20	18	63544	20	3261	3154	6
105.0	63425	18	19	63545	17	3028	3004	7
105.0	63431	31	28	63546	33	2802	3284	7
105.0	63408	10	11	63547	9	3022	3156	6
105.0	63444	26	26	63548	24	3128	3122	9
105.0	63378	25	27	63549	22	3093	3258	8
105.0	63420	13	14	63550	12	3278	3461	9
105.0	63455	27	26	63551	25	2948	3006	5
105.0	63421	15	11	63552	18	3130	3214	8
105.0	63440	17	24	63553	10	3356	3128	6
105.0	63424	11	12	63554	10	3116	3179	10
105.0	63478	5	5	63555	4	3312	3150	11
105.0	63454	18	16	63556	19	3261	3154	7
105.0	63388	16	12	63557	18	3037	3254	10
105.0	63434	17	22	63558	12	3230	3349	8
106.0	63425	19	23	63559	15	3028	3004	8
106.0	63456	14	15	63560	12	3041	2806	5
106.0	63409	21	23	63561	18	3581	3012	4
106.0	63420	14	10	63562	15	3278	3461	10
106.0	63364	15	13	63563	16	2962	3230	9
106.0	63492	32	31	63564	31	3314	3241	7
106.0	63429	16	19	63565	12	2741	3005	6
106.0	63446	24	22	63566	25	3062	3293	8
107.0	63377	14	15	63567	12	2649	3211	7
