step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	63364	3	0	0	19.7000	18.9529	2.1204	0.0000	1.2291
1	63357	3	0	0	19.7269	12.2169	4.0405	0.0827	1.2295
2	63350	3	0	0	19.7290	12.2219	3.3918	0.1321	1.2299
3	63342	3	0	0	19.7253	12.2150	3.6498	0.1307	1.2301
4	63338	3	0	0	19.7235	12.2111	3.5327	0.1311	1.2303
5	63330	3	0	0	19.7220	12.2078	3.5728	0.1346	1.2305
6	63325	3	0	0	19.7210	12.2056	3.5494	0.1315	1.2305
7	63321	3	0	0	19.7202	12.2037	3.5535	0.1353	1.2306
8	63313	3	0	0	19.7195	12.2024	3.5472	0.1333	1.2306
9	63311	3	0	0	19.7192	12.2013	3.5463	0.1298	1.2306
10	63305	3	0	0	19.7187	12.2001	3.5432	0.1324	1.2306
11	63299	3	0	0	19.7184	12.1994	3.5418	0.1293	1.2306
12	63298	3	0	0	19.7182	12.1989	3.5400	0.1323	1.2305
13	63292	3	0	0	19.7179	12.1973	3.5385	0.1357	1.2305
14	63284	3	0	0	19.7176	12.1969	3.5369	0.1335	1.2305
15	63281	4	0	0	19.7176	12.1954	3.5359	0.1342	1.2304
16	63279	4	0	0	19.7161	11.8869	3.5343	0.1355	1.2305
17	63269	4	0	0	19.7158	11.8863	3.5335	0.1492	1.2306
18	63262	4	0	0	19.7159	11.8859	3.5326	0.1531	1.2307
19	63261	4	0	0	19.7160	11.8857	3.5319	0.1524	1.2307
20	63257	5	0	0	19.7159	11.8856	3.5314	0.1534	1.2307
21	63250	6	0	0	19.7146	11.8759	3.5302	0.1541	1.2308
22	63241	6	0	0	19.7132	11.8627	3.5293	0.1495	1.2310
23	63233	6	0	0	19.7133	11.8637	3.5291	0.1587	1.2312
24	63223	6	0	0	19.7134	11.8642	3.5285	0.1633	1.2314
25	63218	6	0	0	19.7137	11.8647	3.5286	0.1627	1.2314
26	63210	7	0	0	19.7139	11.8661	3.5282	0.1609	1.2315
27	63203	7	0	0	19.7128	11.8533	3.5275	0.1570	1.2316
28	63196	7	0	0	19.7128	11.8538	3.5274	0.1709	1.2317
29	63190	7	0	0	19.7130	11.8545	3.5272	0.1749	1.2318
30	63185	7	0	0	19.7132	11.8557	3.5271	0.1633	1.2319
31	63174	7	0	0	19.7132	12.1574	3.5267	0.1573	1.2319
32	63171	7	0	0	19.7136	12.1579	3.5267	0.1580	1.2319
33	63166	7	0	0	19.7137	12.1582	3.5265	0.1574	1.2319
34	63159	8	0	0	19.7139	12.1588	3.5265	0.1576	1.2319
35	63152	8	0	0	19.7127	12.1487	3.5258	0.1569	1.2320
36	63147	9	0	0	19.7127	12.1488	3.5258	0.1616	1.2320
37	63141	10	0	0	19.7114	12.1408	3.5249	0.1600	1.2322
38	63138	11	0	0	19.7101	12.1299	3.5247	0.1617	1.2325
39	63132	11	0	0	19.7087	12.1185	3.5239	0.1718	1.2329
40	63123	11	0	0	19.7087	12.1179	3.5240	0.1740	1.2332
41	63115	11	0	0	19.7091	12.1202	3.5242	0.1751	1.2334
42	63106	13	0	0	19.7093	12.1215	3.5241	0.1712	1.2336
43	63102	15	0	0	19.7069	12.0459	3.5232	0.1795	1.2339
