time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
23.0	6879	20	19	6881	20	1067	904	1
27.0	6880	20	24	6882	14	1100	1100	1
30.0	6878	20	19	6883	19	1090	1266	1
41.0	6879	19	18	6884	18	1067	904	2
43.0	6880	24	24	6885	23	1100	1100	2
43.0	6878	19	20	6886	18	1020	1385	2
44.0	6880	24	29	6887	17	1100	1100	3
45.0	6878	20	19	6888	20	1020	1432	3
46.0	6883	19	16	6889	21	986	1197	2
49.0	6881	20	23	6890	17	973	1039	2
52.0	6883	16	16	6891	15	986	1197	3
52.0	6881	23	23	6892	22	973	1039	3
53.0	6879	18	18	6893	16	1110	908	3
55.0	6878	19	19	6894	18	1023	1480	4
56.0	6885	23	21	6895	24	1074	1074	3
56.0	6887	17	17	6896	17	1087	1087	4
57.0	6882	14	15	6897	13	1087	1112	2
57.0	6887	17	21	6898	12	1087	1087	5
58.0	6882	15	19	6899	10	1087	1112	3
59.0	6882	19	22	6900	15	1087	1112	4
59.0	6880	29	28	6901	29	1100	1100	4
60.0	6882	22	25	6902	16	1087	1112	5
60.0	6884	18	22	6903	14	994	903	3
61.0	6883	16	21	6904	9	986	1197	4
62.0	6878	19	23	6905	15	894	1471	5
62.0	6884	22	17	6906	26	994	903	4
63.0	6884	17	15	6907	18	994	903	5
64.0	6887	21	26	6908	15	1074	1074	6
64.0	6889	21	20	6909	22	1082	1187	3
65.0	6889	20	19	6910	19	1082	1187	4
66.0	6888	20	23	6911	15	1020	1450	4
70.0	6880	28	23	6912	32	1199	1078	5
71.0	6883	21	18	6913	21	959	1014	5
71.0	6885	21	20	6914	22	1062	1045	4
71.0	6893	16	19	6915	12	1110	929	4
72.0	6893	19	19	6916	18	1110	929	5
72.0	6889	19	22	6917	14	1082	1187	5
75.0	6893	19	16	6918	22	1110	929	6
75.0	6887	26	22	6919	29	1074	1074	7
77.0	6884	15	11	6920	19	1001	864	6
77.0	6885	20	24	6921	15	1062	1045	5
77.0	6898	12	8	6922	16	1074	1057	6
78.0	6878	23	22	6923	24	894	1471	6
79.0	6879	18	11	6924	25	1110	908	4
79.0	6881	23	20	6925	25	667	872	4
79.0	6902	16	16	6926	15	1087	1132	6
80.0	6906	26	18	6927	31	1000	842	5
80.0	6904	9	9	6928	9	986	1181	5
81.0	6882	25	20	6929	29	1087	1112	6
81.0	6887	22	19	6930	24	1019	1071	8
82.0	6890	17	12	6931	21	840	1078	3
82.0	6905	15	13	6932	17	881	1483	6
82.0	6882	20	16	6933	21	1087	1112	7
83.0	6907	18	10	6934	25	1068	780	6
83.0	6889	22	24	6935	20	1082	1187	6
83.0	6891	15	13	6936	17	691	1262	4
84.0	6914	22	17	6937	27	1049	1057	5
84.0	6892	22	25	6938	19	1012	1012	4
84.0	6908	15	17	6939	12	1057	1074	7
85.0	6898	8	10	6940	6	1074	1057	7
85.0	6914	17	20	6941	13	1049	1057	6
85.0	6888	23	26	6942	20	1020	1450	5
86.0	6890	12	16	6943	7	840	1078	4
86.0	6878	22	27	6944	17	928	1440	7
86.0	6896	17	20	6945	14	976	1061	5
86.0	6903	14	16	6946	11	1075	992	4
86.0	6909	22	23	6947	20	1082	1206	4
87.0	6903	16	16	6948	14	1075	992	5
87.0	6899	10	12	6949	8	1129	1174	4
87.0	6883	18	15	6950	21	959	1014	6
88.0	6911	15	17	6951	12	945	1393	5
88.0	6879	11	9	6952	11	1110	908	5
88.0	6881	20	20	6953	20	667	872	5
89.0	6894	18	17	6954	19	1013	1512	5
90.0	6912	32	26	6955	38	1211	1065	6
90.0	6880	23	16	6956	30	1277	1119	6
90.0	6895	24	27	6957	17	1112	1017	4
90.0	6913	21	18	6958	21	887	866	6
92.0	6896	20	21	6959	17	976	1061	6
92.0	6883	15	14	6960	15	959	1014	7
92.0	6910	19	15	6961	23	872	1307	5
92.0	6897	13	13	6962	13	1180	1180	3
92.0	6914	20	21	6963	18	1049	1057	7
93.0	6919	29	31	6964	26	1069	1147	8
93.0	6911	17	20	6965	14	945	1393	6
94.0	6887	19	22	6966	16	1019	1071	9
94.0	6899	12	9	6967	15	1130	1137	5
94.0	6881	20	22	6968	18	667	872	6
95.0	6895	27	23	6969	30	1112	1017	5
95.0	6909	23	19	6970	25	1082	1206	5
95.0	6915	12	14	6971	10	1110	946	5
95.0	6900	15	15	6972	15	899	1168	5
95.0	6932	17	20	6973	13	801	1563	7
95.0	6904	9	4	6974	14	1057	1292	6
96.0	6909	19	22	6975	15	1082	1206	6
96.0	6886	18	20	6976	16	1092	1415	3
96.0	6932	20	19	6977	21	801	1563	8
96.0	6900	15	20	6978	7	899	1168	6
96.0	6922	16	14	6979	16	1087	1025	7
96.0	6920	19	18	6980	19	1012	875	7
97.0	6885	24	28	6981	20	1062	1009	6
97.0	6902	16	16	6982	16	1101	1146	7
97.0	6915	14	16	6983	11	1110	946	6
97.0	6905	13	13	6984	12	881	1483	7
97.0	6883	14	12	6985	15	959	1014	8
97.0	6895	23	19	6986	25	1112	1017	6
97.0	6886	20	19	6987	19	1092	1415	4
98.0	6924	25	28	6988	22	1073	917	5
98.0	6899	9	8	6989	9	1130	1137	6
98.0	6885	28	29	6990	26	1062	1009	7
98.0	6956	30	35	6991	25	1259	1119	7
98.0	6878	27	29	6992	25	928	1440	8
98.0	6914	21	15	6993	27	1049	1057	8
98.0	6888	26	30	6994	21	969	1466	6
99.0	6940	6	4	6995	7	1087	1043	8
99.0	6955	38	38	6996	36	1197	1078	7
99.0	6946	11	15	6997	7	1039	956	5
99.0	6906	18	17	6998	18	1000	842	6
100.0	6893	16	13	6999	18	716	961	7
100.0	6889	24	27	7000	21	1082	1187	7
100.0	6923	24	22	7001	23	1123	1259	7
100.0	6908	17	13	7002	20	1057	1074	8
100.0	6894	17	9	7003	23	1013	1512	6
100.0	6921	15	20	7004	9	1051	925	6
100.0	6955	38	30	7005	45	1197	1078	8
101.0	6911	20	23	7006	17	945	1393	7
101.0	6878	29	30	7007	28	928	1440	9
101.0	6901	29	35	7008	22	1540	1142	5
101.0	6955	30	31	7009	26	1197	1078	9
101.0	6918	22	25	7010	18	1094	962	7
101.0	6908	13	11	7011	15	1057	1074	9
101.0	6916	18	20	7012	16	1046	887	6
102.0	6891	13	14	7013	9	579	1402	5
102.0	6928	9	4	7014	14	938	1182	6
102.0	6878	30	24	7015	33	928	1440	10
102.0	6907	10	9	7016	11	1069	745	7
102.0	6895	19	26	7017	12	1140	989	7
102.0	6900	20	17	7018	22	899	1168	7
102.0	6917	14	15	7019	11	1031	1174	6
103.0	6943	7	3	7020	11	887	1075	5
103.0	6918	25	28	7021	20	1094	962	8
104.0	6922	14	12	7022	15	1101	1011	8
104.0	6978	7	9	7023	5	794	1148	7
104.0	6934	25	22	7024	26	1079	791	7
105.0	6927	31	33	7025	29	971	813	6
105.0	6911	23	29	7026	13	945	1393	8
105.0	6945	14	13	7027	14	872	1135	6
105.0	6926	15	16	7028	12	1112	1172	7
105.0	6884	11	13	7029	9	1001	864	7
105.0	6932	19	20	7030	18	801	1563	9
105.0	6881	22	19	7031	22	575	976	7
105.0	6915	16	20	7032	11	1110	946	7
105.0	6896	21	14	7033	26	845	1028	7
106.0	6880	16	17	7034	13	1304	1154	7
106.0	6932	20	17	7035	23	801	1563	10
106.0	6915	20	19	7036	21	1110	946	8
106.0	6941	13	14	7037	12	1049	1040	7
107.0	6943	3	2	7038	4	887	1075	6
107.0	6887	22	21	7039	22	951	1137	10
107.0	6886	19	23	7040	15	1092	1415	5
107.0	6948	14	12	7041	15	1069	900	6
107.0	6897	13	17	7042	9	1180	1180	4
107.0	6920	18	19	7043	16	969	878	8
107.0	6919	31	33	7044	27	1069	1147	9
108.0	6933	21	22	7045	19	1101	1126	8
108.0	6890	16	15	7046	16	602	945	5
108.0	6902	16	13	7047	19	1088	1159	8
108.0	6972	15	16	7048	12	765	1148	6
108.0	6907	9	6	7049	12	1069	745	8
108.0	6878	24	22	7050	26	906	1393	11
108.0	6918	28	24	7051	30	1084	972	9
108.0	6954	19	20	7052	16	1030	1495	6
108.0	6909	22	20	7053	22	1082	1206	7
108.0	6888	30	36	7054	24	969	1466	7
108.0	6931	21	17	7055	24	937	1027	4
109.0	6927	33	33	7056	30	971	813	7
109.0	6930	24	21	7057	25	1002	1088	9
109.0	6880	17	17	7058	17	1304	1154	8
109.0	6955	31	32	7059	28	1197	1078	10
109.0	6953	20	15	7060	24	734	777	6
109.0	6905	13	12	7061	12	881	1483	8
109.0	6892	25	30	7062	16	994	1012	5
109.0	6946	15	11	7063	18	1039	956	6
109.0	6909	20	17	7064	22	1082	1206	8
109.0	6898	10	12	7065	7	1108	1057	8
109.0	6954	20	21	7066	18	1030	1495	7
109.0	6959	17	17	7067	16	1151	1336	7
110.0	6945	13	15	7068	10	872	1135	7
110.0	6956	35	32	7069	35	1301	1119	8
110.0	6946	11	12	7070	10	1039	956	7
111.0	6921	20	14	7071	25	1072	943	7
111.0	6947	20	19	7072	19	1097	1243	5
111.0	6952	11	15	7073	7	1103	908	6
111.0	6989	9	8	7074	9	1151	1121	7
111.0	6940	4	5	7075	3	1087	1043	9
111.0	6906	17	17	7076	17	1000	842	7
111.0	6934	22	25	7077	17	1079	791	8
111.0	6929	29	25	7078	31	1072	1097	7
111.0	6903	16	18	7079	14	1050	1001	6
112.0	6937	27	25	7080	29	1039	1033	6
112.0	6946	12	12	7081	11	1007	988	8
112.0	6903	18	15	7082	21	1050	980	7
112.0	6957	17	18	7083	15	1151	1065	5
112.0	6923	22	17	7084	27	1310	1286	8
112.0	6914	15	18	7085	12	1049	1057	9
113.0	6917	15	13	7086	16	1032	1257	7
113.0	6914	18	16	7087	19	1049	1057	10
113.0	6905	12	7	7088	17	881	1483	9
113.0	6919	33	31	7089	34	1069	1147	10
113.0	6944	17	16	7090	17	968	1429	8
113.0	6972	16	14	7091	17	765	1148	7
113.0	6924	28	25	7092	29	1041	928	6
113.0	6878	22	28	7093	15	906	1393	12
113.0	6933	22	21	7094	22	1078	1126	9
113.0	7008	22	24	7095	20	1529	1131	6
113.0	6998	18	18	7096	18	985	827	7
113.0	6934	25	23	7097	23	1079	791	9
113.0	6889	27	30	7098	23	1068	1201	8
114.0	6890	15	15	7099	15	602	945	6
114.0	6901	35	33	7100	34	1540	1142	6
114.0	6945	15	10	7101	20	872	1135	8
114.0	6904	4	3	7102	5	1032	1341	7
114.0	6914	16	16	7103	16	1049	1057	11
114.0	6924	25	21	7104	28	1041	928	7
114.0	6912	26	17	7105	32	1257	1082	7
114.0	6977	21	24	7106	18	819	1563	9
114.0	6922	12	12	7107	12	1122	1011	9
114.0	6954	21	23	7108	18	1030	1495	8
114.0	6942	20	20	7109	17	997	1450	6
114.0	7010	18	15	7110	21	1054	964	8
114.0	6917	13	11	7111	15	1032	1257	8
115.0	6960	15	17	7112	12	951	1066	8
115.0	6900	17	19	7113	15	899	1168	8
115.0	6926	16	16	7114	15	1112	1172	8
115.0	6904	3	5	7115	1	1032	1341	8
115.0	7032	11	11	7116	10	1164	910	8
115.0	6939	12	9	7117	14	1019	1096	8
115.0	6917	11	8	7118	13	1032	1257	9
115.0	6994	21	22	7119	20	925	1480	7
115.0	6894	9	13	7120	4	1013	1512	7
115.0	6925	25	27	7121	21	538	1084	5
115.0	6941	14	12	7122	13	1049	1040	8
115.0	7010	15	15	7123	15	1054	964	9
115.0	6893	13	14	7124	11	696	1032	8
115.0	6957	18	21	7125	14	1151	1065	6
115.0	6945	10	8	7126	12	872	1135	9
115.0	6921	14	16	7127	11	1072	922	8
115.0	6976	16	13	7128	18	1006	1428	4
116.0	6935	20	17	7129	23	1035	1189	7
116.0	6958	21	20	7130	20	926	806	7
116.0	6883	12	10	7131	13	959	1014	9
116.0	6939	9	12	7132	6	1019	1096	9
116.0	6920	19	20	7133	17	969	878	9
116.0	6936	17	21	7134	12	637	1110	5
116.0	6909	17	15	7135	18	1082	1206	9
116.0	6985	15	17	7136	11	891	1015	9
116.0	6945	8	10	7137	6	872	1135	10
117.0	6989	8	10	7138	6	1151	1121	8
117.0	6930	21	21	7139	20	1002	1088	10
117.0	7008	24	24	7140	24	1529	1131	7
117.0	6962	13	7	7141	18	1284	1130	4
117.0	6967	15	9	7142	21	1232	1121	6
117.0	6975	15	16	7143	13	1040	1237	7
117.0	6920	20	20	7144	17	969	878	10
117.0	6978	9	6	7145	12	752	1066	8
117.0	6952	15	17	7146	12	1103	908	7
117.0	6948	12	12	7147	12	1069	900	7
117.0	7026	13	10	7148	16	962	1393	9
117.0	7033	26	25	7149	27	912	1030	8
117.0	6971	10	7	7150	12	1108	954	6
117.0	7040	15	16	7151	13	1074	1353	6
118.0	6949	8	7	7152	9	1129	1190	5
118.0	7115	1	1	7153	1	1002	1368	9
118.0	7070	10	9	7154	11	1074	950	8
118.0	6955	32	32	7155	30	1197	1078	11
