step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	6881	3	0	0	19.9604	19.4984	4.5775	0.0000	1.0317
1	6881	3	0	0	19.9555	12.7066	4.6699	0.0827	1.0338
2	6879	3	0	0	19.9557	12.7066	4.6467	0.0279	1.0340
3	6879	3	0	0	19.9552	12.7055	4.6475	0.1240	1.0340
4	6879	3	0	0	19.9550	12.7051	4.6450	0.1251	1.0340
5	6877	3	0	0	19.9549	12.7047	4.6440	0.1268	1.0340
6	6876	3	0	0	19.9550	12.7048	4.6431	0.1335	1.0340
7	6874	3	0	0	19.9550	12.7048	4.6425	0.1296	1.0339
8	6874	3	0	0	19.9551	12.7048	4.6420	0.1282	1.0339
9	6872	3	0	0	19.9552	12.7047	4.6417	0.1278	1.0339
10	6872	3	0	0	19.9554	12.7051	4.6416	0.1339	1.0338
11	6870	3	0	0	19.9555	12.7051	4.6413	0.1292	1.0338
12	6870	3	0	0	19.9556	12.7051	4.6412	0.1265	1.0338
13	6870	3	0	0	19.9557	12.7047	4.6408	0.1271	1.0337
14	6870	3	0	0	19.9558	12.7047	4.6406	0.1278	1.0337
15	6870	3	0	0	19.9559	12.7045	4.6404	0.1256	1.0337
16	6869	3	0	0	19.9560	12.7056	4.6403	0.1249	1.0337
17	6867	3	0	0	19.9562	12.7066	4.6405	0.1250	1.0336
18	6866	3	0	0	19.9564	12.7067	4.6404	0.1212	1.0336
19	6866	3	0	0	19.9565	12.7075	4.6404	0.1253	1.0336
20	6865	3	0	0	19.9566	12.7075	4.6402	0.1227	1.0335
21	6864	3	0	0	19.9567	12.7071	4.6403	0.1253	1.0335
22	6864	3	0	0	19.9568	12.7067	4.6401	0.1247	1.0335
23	6865	4	0	0	19.9569	12.7067	4.6401	0.1248	1.0335
24	6864	4	0	0	19.9551	12.6999	4.6376	0.1267	1.0342
